Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Marco Asensio,es ESP,FW MF,Real Madrid,21,1996,32,19,1 844,20.mai,6,6,12,6,0,0,2,0,04.mai,04.mai,06.avr,10.sept,135,157,209,0.29,0.29,0.59,0.29,0.59,0.22,0.31,0.53,0.22,0.53
Iago Aspas,es ESP,FW,Celta Vigo,29,1987,34,33,2 936,32.6,22,5,27,20,2,3,9,0,17.mars,15.0,09.mai,24.mai,115,126,294,0.67,0.15,0.83,0.61,0.77,0.53,0.29,0.82,0.46,0.75
Carlos Bacca,co COL,FW,Villarreal,30,1986,35,30,2 497,27.juil,15,6,21,14,1,1,9,0,14.0,13.févr,04.juil,18.0,56,39,188,0.54,0.22,0.76,0.50,0.72,0.51,0.17,0.68,0.48,0.65
Cédric Bakambu,cd COD,FW,Villarreal,26,1991,15,15,1 263,14.0,9,0,9,8,1,1,5,0,05.sept,05.janv,01.juin,06.juin,37,21,80,0.64,0.00,0.64,0.57,0.57,0.42,0.11,0.53,0.36,0.47
Zakaria Bakkali,be BEL,FW MF,La Coruña,21,1996,23,10,909,10.janv,0,0,0,0,0,0,5,0,01.févr,01.févr,0.3,01.mai,33,30,99,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.15,0.12,0.15
Gareth Bale,wls WAL,FW MF,Real Madrid,28,1989,26,20,1 799,20.0,16,2,18,15,1,1,5,0,11.août,11.0,5.0,16.0,75,87,217,0.80,0.10,0.90,0.75,0.85,0.59,0.25,0.84,0.55,0.80
Mikel Balenziaga,es ESP,DF,Athletic Club,29,1988,18,18,1 549,17.févr,0,2,2,0,0,0,1,0,0.2,0.2,1.0,01.janv,29,48,71,0.00,0.12,0.12,0.00,0.12,0.01,0.06,0.07,0.01,0.07
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Éver Banega,ar ARG,MF,Sevilla,29,1988,31,25,2 399,26.juil,3,3,6,0,3,3,9,1,03.août,01.avr,06.févr,07.juin,77,350,81,0.11,0.11,0.23,0.00,0.11,0.14,0.23,0.37,0.05,0.29
Léo Baptistão,br BRA,FW MF,Espanyol,24,1992,36,31,2 677,29.juil,8,3,11,8,0,0,4,0,10.févr,10.févr,02.mai,12.juil,76,51,187,0.27,0.10,0.37,0.27,0.37,0.34,0.08,0.43,0.34,0.43
Mariano Barbosa,ar ARG,GK,Villarreal,33,1984,13,12,1 125,12.mai,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Enis Bardhi,mk MKD,MF,Levante,22,1995,26,16,1 58,17.juin,9,1,10,9,0,0,8,0,03.janv,03.janv,01.mars,04.avr,39,91,57,0.51,0.06,0.57,0.51,0.57,0.18,0.07,0.25,0.18,0.25
Antonio Barragán,es ESP,DF,Betis,30,1987,29,28,2 373,26.avr,0,6,6,0,0,0,7,0,0.7,0.7,02.août,03.mai,50,123,198,0.00,0.23,0.23,0.00,0.23,0.03,0.11,0.13,0.03,0.13
Barri,es ESP,MF FW,Getafe,21,1995,2,1,113,01.mars,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Marc Bartra,es ESP,DF,Betis,26,1991,16,16,1 42,15.août,1,0,1,1,0,0,6,0,0.8,0.8,0.7,01.mai,16,57,4,0.06,0.00,0.06,0.06,0.06,0.05,0.04,0.09,0.05,0.09
Borja Bastón,es ESP,FW,Málaga,24,1992,20,8,985,10.sept,2,0,2,1,1,2,2,0,05.janv,03.juin,0.1,03.juil,7,8,65,0.18,0.00,0.18,0.09,0.09,0.47,0.01,0.48,0.33,0.34
Jon Bautista,es ESP,FW MF,Real Sociedad,22,1995,11,1,181,2.0,1,0,1,1,0,0,0,0,01.mars,01.mars,0.1,01.mars,3,3,12,0.50,0.00,0.50,0.50,0.50,0.64,0.03,0.67,0.64,0.67
Paul Baysse,fr FRA,DF,Málaga,29,1988,15,13,1 239,13.août,1,0,1,1,0,0,1,0,01.janv,01.janv,0.0,01.janv,0,25,3,0.07,0.00,0.07,0.07,0.07,0.08,0.00,0.08,0.08,0.08
Claudio Beauvue,gp GLP,FW,Leganés,29,1988,28,17,1 672,18.juin,2,0,2,2,0,0,4,0,04.févr,04.févr,01.mars,05.mai,18,22,70,0.11,0.00,0.11,0.11,0.11,0.23,0.07,0.29,0.23,0.29
Bebé,cv CPV,MF FW,Eibar,27,1990,9,3,365,04.janv,0,1,1,0,0,0,0,0,0.3,0.3,01.juil,2.0,14,3,37,0.00,0.25,0.25,0.00,0.25,0.07,0.42,0.49,0.07,0.49
