Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Cyrille Bayala,bf BFA,MF,Ajaccio,26,1996,33,25,2 009,22.mars,1,1,2,1,0,0,3,1,2.0,2.0,2.0,04.janv,46,66,109,0.04,0.04,0.09,0.04,0.09,0.09,0.09,0.18,0.09,0.18
Yanis Begraoui,ma MAR,FW MF,Toulouse,21,2001,3,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37
Alexis Beka Beka,fr FRA,MF DF,Nice,21,2001,14,7,545,06.janv,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.5,13,25,23,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
Jérémie Bela,ao ANG,DF MF,Clermont Foot,29,1993,19,7,743,08.mars,1,1,2,1,0,0,0,0,0.6,0.6,0.2,0.8,22,24,54,0.12,0.12,0.24,0.12,0.24,0.07,0.03,0.10,0.07,0.10
Reda Belahyane,ma MAR,MF,Nice,18,2004,4,1,182,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,10,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Youcef Belaïli,dz ALG,MF FW,Ajaccio,30,1992,17,15,1 15,12.août,6,3,9,1,5,6,2,0,06.févr,01.août,03.mai,05.mars,32,55,68,0.47,0.23,0.70,0.08,0.31,0.48,0.27,0.76,0.14,0.42
Youcef Belaïli,dz ALG,FW MF,Brest,30,1992,6,4,356,4.0,0,2,2,0,0,0,3,0,0.7,0.7,0.8,01.avr,16,14,31,0.00,0.51,0.51,0.00,0.51,0.17,0.19,0.36,0.17,0.36
Haris Belkebla,dz ALG,MF,Brest,28,1994,38,30,2 656,29.mai,2,0,2,1,1,1,3,0,01.mars,0.5,0.6,01.janv,19,129,37,0.07,0.00,0.07,0.03,0.03,0.04,0.02,0.06,0.02,0.04
Jean-Ricner Bellegarde,ht HAI,MF FW,Strasbourg,24,1998,30,29,2 419,26.sept,2,6,8,2,0,0,5,0,02.mai,02.mai,05.févr,07.juil,104,153,110,0.07,0.22,0.30,0.07,0.30,0.09,0.19,0.29,0.09,0.29
Jeanuël Belocian,fr FRA,DF,Rennes,17,2005,8,6,506,05.juin,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,8,21,21,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
Eliesse Ben Seghir,ma MAR,FW MF,Monaco,17,2005,19,13,1 052,11.juil,4,1,5,4,0,0,1,0,01.sept,01.sept,01.févr,03.févr,31,55,93,0.34,0.09,0.43,0.34,0.43,0.17,0.11,0.27,0.17,0.27
Salim Ben Seghir,fr FRA,MF,Marseille,19,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wissam Ben Yedder,fr FRA,FW,Monaco,31,1990,32,28,2 114,23.mai,19,6,25,14,5,6,4,0,17.avr,12.juil,03.août,16.mai,48,75,198,0.81,0.26,01.juin,0.60,0.85,0.74,0.16,0.90,0.54,0.70
Nabil Bentaleb,dz ALG,MF,Angers,27,1994,30,29,2 489,27.juil,4,4,8,2,2,2,7,1,03.févr,01.juin,02.mars,03.sept,46,176,28,0.14,0.14,0.29,0.07,0.22,0.11,0.08,0.20,0.06,0.14
Patrick Berg,no NOR,MF FW,Lens,24,1997,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17
Mitchell van Bergen,nl NED,FW DF,Reims,22,1999,28,6,905,10.janv,0,1,1,0,0,0,1,0,02.févr,02.févr,02.juil,04.août,51,21,89,0.00,0.10,0.10,0.00,0.10,0.22,0.26,0.48,0.22,0.48
Quentin Bernard,fr FRA,DF,Auxerre,33,1989,7,7,630,7.0,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,4,27,14,0.00,0.14,0.14,0.00,0.14,0.00,0.08,0.08,0.00,0.08
Paul Bernardoni,fr FRA,GK,Angers,25,1997,27,27,2 43,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juan Bernat,es ESP,DF MF,Paris S-G,29,1993,28,18,1 648,18.mars,1,4,5,1,0,0,1,0,0.9,0.9,03.janv,03.sept,24,38,143,0.05,0.22,0.27,0.05,0.27,0.05,0.17,0.21,0.05,0.21
