Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Etrit Berisha,al ALB,GK,Atalanta,27,1989,26,26,234,26.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Federico Bernardeschi,it ITA,DF FW,Fiorentina,22,1994,32,27,2292,25.mai,11,4,15,8,3,4,5,1,0.43,0.16,0.59,0.31,0.47
Andrea Bertolacci,it ITA,MF,Milan,25,1991,15,9,820,09.janv,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11
Jonathan Biabiany,fr FRA,FW MF,Inter,28,1988,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Roberto Biancu,it ITA,MF,Cagliari,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lucas Biglia,ar ARG,MF,Lazio,30,1986,29,28,2264,25.févr,4,3,7,1,3,5,8,0,0.16,0.12,0.28,0.04,0.16
Davide Biondini,it ITA,MF,Sassuolo,33,1983,14,9,854,09.mai,0,1,1,0,0,0,6,0,0.00,0.11,0.11,0.00,0.11
Cristiano Biraghi,it ITA,DF MF,Pescara,23,1992,35,33,2987,33.2,1,4,5,0,1,2,11,0,0.03,0.12,0.15,0.00,0.12
Davide Biraschi,it ITA,DF,Genoa,22,1994,7,4,395,04.avr,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Valter Birsa,si SVN,FW MF,Chievo,29,1986,35,34,2761,30.juil,7,9,16,7,0,0,5,0,0.23,0.29,0.52,0.23,0.52
Luca Bittante,it ITA,DF MF,Cagliari,22,1993,5,3,312,03.mai,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Albano Bizzarri,ar ARG,GK,Pescara,38,1977,29,29,261,29.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Giacomo Bonaventura,it ITA,FW MF,Milan,26,1989,19,19,1566,17.avr,3,3,6,3,0,0,3,0,0.17,0.17,0.34,0.17,0.34
Leonardo Bonucci,it ITA,DF,Juventus,29,1987,29,26,2409,26.août,3,0,3,3,0,0,5,0,0.11,0.00,0.11,0.11,0.11
Marco Borriello,it ITA,FW,Cagliari,34,1982,36,30,2589,28.août,16,2,18,15,1,2,4,0,0.56,0.07,0.63,0.52,0.59
