Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Rodrigo Bentancur,uy URU,MF,Juventus,22,1997,30,25,2196,24.avr,0,7,7,0,0,0,9,0,0.7,0.7,03.juin,04.mars,26,112,60,0.00,0.29,0.29,0.00,0.29,0.03,0.15,0.18,0.03,0.18
Romario Benzar,ro ROU,DF,Lecce,27,1992,3,1,97,01.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,5,7,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Domenico Berardi,it ITA,FW,Sassuolo,24,1994,31,29,2493,27.juil,14,10,24,12,2,3,6,1,10.juil,08.avr,07.sept,16.mars,78,132,227,0.51,0.36,0.87,0.43,0.79,0.39,0.29,0.67,0.30,0.59
Álex Berenguer,es ESP,MF DF,Torino,24,1995,29,21,1823,20.mars,6,2,8,6,0,0,4,0,4.0,4.0,4.0,8.0,97,77,121,0.30,0.10,0.39,0.30,0.39,0.20,0.20,0.40,0.20,0.40
Bartosz Bereszyński,pl POL,DF,Sampdoria,27,1992,28,27,2402,26.juil,0,0,0,0,0,0,10,0,0.4,0.4,0.5,0.9,49,117,71,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Etrit Berisha,al ALB,GK,SPAL,30,1989,26,26,234,26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Valon Berisha,xk KVX,MF,Lazio,26,1993,3,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Federico Bernardeschi,it ITA,MF FW,Juventus,25,1994,29,19,1571,17.mai,1,1,2,1,0,0,6,0,04.avr,04.avr,03.avr,07.sept,45,56,126,0.06,0.06,0.11,0.06,0.11,0.25,0.20,0.45,0.25,0.45
Andrea Bertolacci,it ITA,MF,Sampdoria,28,1991,12,8,534,05.sept,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.3,8,28,10,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Lucas Biglia,ar ARG,MF,Milan,33,1986,14,8,685,07.juin,0,1,1,0,0,0,4,0,0.3,0.3,0.3,0.6,6,33,1,0.00,0.13,0.13,0.00,0.13,0.04,0.04,0.08,0.04,0.08
Cristiano Biraghi,it ITA,DF,Inter,26,1992,26,18,1576,17.mai,2,6,8,2,0,0,3,0,0.6,0.6,03.sept,04.mai,46,45,129,0.11,0.34,0.46,0.11,0.46,0.03,0.22,0.26,0.03,0.26
Davide Biraschi,it ITA,DF,Genoa,25,1994,24,22,1971,21.sept,0,1,1,0,0,0,3,1,0.5,0.5,0.5,0.9,36,100,33,0.00,0.05,0.05,0.00,0.05,0.02,0.02,0.04,0.02,0.04
Valter Birsa,si SVN,MF FW,Cagliari,32,1986,13,4,430,04.août,0,0,0,0,0,0,1,0,0.1,0.1,01.févr,01.mars,15,35,15,0.00,0.00,0.00,0.00,0.00,0.02,0.25,0.27,0.02,0.27
Dimitri Bisoli,it ITA,MF,Brescia,25,1994,25,24,2152,23.sept,1,1,2,1,0,0,6,0,02.mars,02.mars,02.févr,04.mai,30,93,127,0.04,0.04,0.08,0.04,0.08,0.10,0.09,0.19,0.10,0.19
Birkir Bjarnason,is ISL,MF FW,Brescia,31,1988,13,9,798,08.sept,0,1,1,0,0,0,1,0,0.4,0.4,01.mai,01.sept,12,18,22,0.00,0.11,0.11,0.00,0.11,0.04,0.17,0.22,0.04,0.22
Kevin-Prince Boateng,gh GHA,FW,Fiorentina,32,1987,14,6,599,06.juil,1,0,1,1,0,0,2,0,01.mars,01.mars,0.3,01.juin,3,19,40,0.15,0.00,0.15,0.15,0.15,0.19,0.04,0.23,0.19,0.23
Salvatore Bocchetti,it ITA,DF,Hellas Verona,32,1986,5,3,303,03.avr,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,16,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jeremie Boga,ci CIV,FW,Sassuolo,22,1997,34,28,2513,27.sept,11,2,13,11,0,0,0,0,04.avr,04.avr,03.avr,07.juil,168,74,250,0.39,0.07,0.47,0.39,0.47,0.16,0.12,0.28,0.16,0.28
Giacomo Bonaventura,it ITA,MF FW,Milan,29,1989,29,13,1338,14.sept,3,5,8,3,0,0,2,0,03.mars,03.mars,02.mai,05.août,35,75,87,0.20,0.34,0.54,0.20,0.54,0.22,0.17,0.39,0.22,0.39
Federico Bonazzoli,it ITA,FW,Sampdoria,22,1997,19,7,744,08.mars,6,0,6,6,0,0,1,0,03.juin,03.juin,0.7,04.févr,24,19,53,0.73,0.00,0.73,0.73,0.73,0.43,0.08,0.51,0.43,0.51
Kevin Bonifazi,it ITA,DF,Torino,23,1996,3,3,247,02.juil,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.36,0.00,0.36,0.36,0.36,0.10,0.01,0.12,0.10,0.12
Kevin Bonifazi,it ITA,DF,SPAL,23,1996,14,13,1191,13.févr,1,0,1,1,0,0,2,1,01.févr,01.févr,0.2,01.mars,10,33,1,0.08,0.00,0.08,0.08,0.08,0.09,0.01,0.10,0.09,0.10
Federico Bonini,it ITA,DF,Bologna,17,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Leonardo Bonucci,it ITA,DF,Juventus,32,1987,35,35,3082,34.2,3,0,3,3,0,0,10,0,03.avr,03.avr,0.6,03.sept,16,144,3,0.09,0.00,0.09,0.09,0.09,0.10,0.02,0.12,0.10,0.12
Fabio Borini,it ITA,MF FW,Hellas Verona,28,1991,14,9,808,9.0,3,0,3,2,1,1,1,1,03.févr,02.avr,0.4,02.août,21,17,72,0.33,0.00,0.33,0.22,0.22,0.35,0.05,0.40,0.26,0.31
Fabio Borini,it ITA,MF,Milan,28,1991,2,1,70,0.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,0,6,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
Mehdi Bourabia,ma MAR,MF,Sassuolo,27,1991,17,10,925,10.mars,1,2,3,1,0,0,7,1,0.3,0.3,0.5,0.7,22,58,15,0.10,0.19,0.29,0.10,0.29,0.03,0.04,0.07,0.03,0.07
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Federico Brancolini,it ITA,GK,Fiorentina,18,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gleison Bremer,br BRA,DF,Torino,22,1997,27,27,227,25.févr,3,1,4,3,0,0,6,2,01.juil,01.juil,0.4,2.0,16,57,3,0.12,0.04,0.16,0.12,0.16,0.07,0.01,0.08,0.07,0.08
Marco Brescianini,it ITA,MF,Milan,19,2000,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcelo Brozović,hr CRO,MF,Inter,26,1992,32,30,2701,30.0,3,6,9,3,0,0,9,0,03.févr,03.févr,02.août,05.sept,47,240,40,0.10,0.20,0.30,0.10,0.30,0.11,0.09,0.20,0.11,0.20
Gastón Brugman,uy URU,MF,Parma,26,1992,23,17,1458,16.févr,0,2,2,0,0,0,5,0,0.3,0.3,01.mars,01.juin,19,65,12,0.00,0.12,0.12,0.00,0.12,0.02,0.08,0.10,0.02,0.10
Gianluigi Buffon,it ITA,GK,Juventus,41,1978,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabrizio Cacciatore,it ITA,DF,Cagliari,32,1986,16,14,1153,12.août,0,0,0,0,0,0,1,1,0.3,0.3,0.5,0.8,13,55,33,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Martín Cáceres,uy URU,DF,Fiorentina,32,1987,27,27,2356,26.févr,1,0,1,1,0,0,10,1,2.0,2.0,0.7,02.juil,24,117,10,0.04,0.00,0.04,0.04,0.04,0.08,0.03,0.10,0.08,0.10
Felipe Caicedo,ec ECU,FW,Lazio,30,1988,30,18,1406,15.juin,9,2,11,9,0,1,7,0,05.mai,04.juil,03.janv,07.août,13,31,121,0.58,0.13,0.70,0.58,0.70,0.35,0.20,0.55,0.30,0.50
Davide Calabria,it ITA,DF,Milan,22,1996,25,16,1622,18.0,1,1,2,1,0,0,4,2,0.5,0.5,0.7,01.janv,40,121,81,0.06,0.06,0.11,0.06,0.11,0.03,0.04,0.06,0.03,0.06
Riccardo Calafiori,it ITA,DF,Roma,17,2002,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
