,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Lameck Banda,zm ZAM,FW,Lecce,22,2001,21,17,135,15.0,2,4,6,2,0,0,5,1,03.juin,03.juin,01.sept,05.mai,71,22,136,0.13,0.27,0.40,0.13,0.40,0.24,0.13,0.37,0.24,0.37
Daniel Bandeira,pt POR,MF,Hellas Verona,23,2000,14,3,446,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,9,34,8,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.06,0.01,0.06
Mattia Bani,it ITA,DF,Genoa,29,1993,27,27,2306,25.juin,2,0,2,2,0,0,9,0,01.févr,01.févr,0.1,01.mars,5,37,4,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05
Antonín Barák,cz CZE,MF FW,Fiorentina,28,1994,21,8,808,9.0,2,3,5,2,0,0,2,0,01.mai,01.mai,02.févr,03.août,17,33,64,0.22,0.33,0.56,0.22,0.56,0.17,0.25,0.42,0.17,0.42
Nicolò Barella,it ITA,MF,Inter,26,1997,37,34,2846,31.6,2,3,5,2,0,0,7,0,05.janv,05.janv,03.avr,08.mai,68,278,144,0.06,0.09,0.16,0.06,0.16,0.16,0.11,0.27,0.16,0.27
Enzo Barrenechea,ar ARG,MF,Frosinone,22,2001,36,32,2811,31.2,0,1,1,0,0,0,10,0,0.6,0.6,01.juil,02.mars,10,155,24,0.00,0.03,0.03,0.00,0.03,0.02,0.05,0.07,0.02,0.07
Davide Bartesaghi,it ITA,DF MF,Milan,17,2005,6,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Federico Baschirotto,it ITA,DF,Lecce,26,1996,37,37,3294,36.6,0,1,1,0,0,0,3,1,01.juil,01.mai,0.7,02.janv,28,96,3,0.00,0.03,0.03,0.00,0.03,0.05,0.02,0.07,0.04,0.06
Toma Bašić,hr CRO,MF,Salernitana,26,1996,15,14,1162,12.sept,0,0,0,0,0,0,5,0,0.6,0.6,0.5,01.janv,11,53,16,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
Alessandro Bastoni,it ITA,DF,Inter,24,1999,28,28,2268,25.févr,1,3,4,1,0,0,5,0,01.févr,01.févr,03.avr,04.juin,63,142,77,0.04,0.12,0.16,0.04,0.16,0.05,0.13,0.18,0.05,0.18
Simone Bastoni,it ITA,MF DF,Empoli,26,1996,16,9,745,08.mars,1,0,1,1,0,0,3,0,0.4,0.4,0.5,0.9,12,31,26,0.12,0.00,0.12,0.12,0.12,0.05,0.06,0.11,0.05,0.11
Reda Belahyane,ma MAR,MF,Hellas Verona,19,2004,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Raoul Bellanova,it ITA,DF,Torino,23,2000,37,36,3046,33.8,1,7,8,1,0,0,5,0,2.0,2.0,5.0,07.janv,141,98,202,0.03,0.21,0.24,0.03,0.24,0.06,0.15,0.21,0.06,0.21
Andrea Belotti,it ITA,FW,Fiorentina,29,1993,15,11,949,10.mai,3,0,3,3,0,0,0,0,03.juil,03.juil,0.7,04.avr,10,15,60,0.28,0.00,0.28,0.28,0.28,0.35,0.07,0.41,0.35,0.41
Andrea Belotti,it ITA,FW,Roma,29,1993,14,6,679,07.mai,3,2,5,3,0,0,1,0,02.avr,02.avr,01.févr,03.juin,15,8,49,0.40,0.27,0.66,0.40,0.66,0.32,0.16,0.48,0.32,0.48
Lucas Beltrán,ar ARG,FW MF,Fiorentina,22,2001,32,21,1692,18.août,6,2,8,5,1,1,6,0,03.août,3.0,01.mai,04.mai,12,49,113,0.32,0.11,0.43,0.27,0.37,0.20,0.08,0.28,0.16,0.24
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ismaël Bennacer,dz ALG,MF,Milan,25,1997,20,13,1151,12.août,2,2,4,1,1,1,2,0,01.juil,0.9,02.mai,03.mars,24,68,33,0.16,0.16,0.31,0.08,0.23,0.13,0.19,0.32,0.07,0.26
Domenico Berardi,it ITA,FW,Sassuolo,28,1994,17,17,1431,15.sept,9,3,12,4,5,5,6,0,06.mai,02.juin,3.0,05.juin,38,83,123,0.57,0.19,0.75,0.25,0.44,0.41,0.19,0.60,0.16,0.35
Bartosz Bereszyński,pl POL,DF,Empoli,31,1992,24,22,1762,19.juin,0,1,1,0,0,0,3,0,0.1,0.1,0.3,0.4,15,69,18,0.00,0.05,0.05,0.00,0.05,0.00,0.02,0.02,0.00,0.02
Etrit Berisha,al ALB,GK,Empoli,34,1989,14,14,126,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
