Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Daniel Caligiuri,it ITA,DF FW,Wolfsburg,28,1988,16,13,1 105,12.mars,2,1,3,2,0,0,2,0,0.16,0.08,0.24,0.16,0.24
Daniel Caligiuri,it ITA,DF FW,Schalke 04,28,1988,16,14,1 104,12.mars,2,3,5,2,0,0,0,0,0.16,0.24,0.41,0.16,0.41
Jan-Ingwer Callsen-Bracker,de GER,DF,Augsburg,31,1984,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Koen Casteels,be BEL,GK,Wolfsburg,24,1992,20,20,1 8,20.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Gonzalo Castro,de GER,DF MF,Dortmund,29,1987,28,23,1 921,21.mars,3,4,7,3,0,0,5,0,0.14,0.19,0.33,0.14,0.33
Timothy Chandler,us USA,DF MF,Eint Frankfurt,26,1990,32,31,2 817,31.mars,0,3,3,0,0,0,6,1,0.00,0.10,0.10,0.00,0.10
Andreas Christensen,dk DEN,DF MF,Gladbach,20,1996,31,31,2 781,30.sept,2,0,2,2,0,0,1,0,0.06,0.00,0.06,0.06,0.06
Max Christiansen,de GER,MF,Ingolstadt 04,19,1996,11,4,443,04.sept,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,29,1987,26,25,2 136,23.juil,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Cléber,br BRA,DF,Hamburger SV,25,1990,5,5,325,03.juin,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
Christian Clemens,de GER,FW MF,Mainz 05,24,1991,3,2,188,02.janv,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Christian Clemens,de GER,FW MF,Köln,24,1991,12,10,805,08.sept,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22
Almog Cohen,il ISR,MF,Ingolstadt 04,27,1988,31,29,2 494,27.juil,7,1,8,6,1,1,2,0,0.25,0.04,0.29,0.22,0.25
Coke,es ESP,DF MF,Schalke 04,29,1987,8,7,627,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14
Antonio Čolak,hr CRO,FW,Darmstadt 98,22,1993,22,12,1 276,14.févr,4,1,5,3,1,2,2,1,0.28,0.07,0.35,0.21,0.28
Fabio Coltorti,ch SUI,GK,RB Leipzig,35,1980,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kingsley Coman,fr FRA,FW MF,Bayern Munich,20,1996,19,10,917,10.févr,2,1,3,2,0,0,1,0,0.20,0.10,0.29,0.20,0.29
Marvin Compper,de GER,DF,RB Leipzig,31,1985,25,25,2 098,23.mars,2,0,2,2,0,0,6,0,0.09,0.00,0.09,0.09,0.09
Jhon Córdoba,co COL,FW,Mainz 05,23,1993,29,27,2 345,26.janv,5,3,8,5,0,0,8,1,0.19,0.12,0.31,0.19,0.31
Danny da Costa,de GER,DF FW,Leverkusen,23,1993,3,1,111,01.févr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Douglas Costa,br BRA,FW MF,Bayern Munich,25,1990,23,14,1 42,15.août,4,4,8,4,0,0,2,0,0.25,0.25,0.51,0.25,0.51
Mahmoud Dahoud,de GER,MF,Gladbach,20,1996,28,26,2 274,25.mars,2,6,8,2,0,0,3,0,0.08,0.24,0.32,0.08,0.32
Kevin Danso,at AUT,DF MF,Augsburg,17,1998,7,7,612,06.août,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vladimír Darida,cz CZE,MF,Hertha BSC,25,1990,25,21,2 041,22.juil,2,2,4,2,0,0,6,0,0.09,0.09,0.18,0.09,0.18
Thomas Delaney,dk DEN,MF,Werder Bremen,24,1991,13,11,916,10.févr,4,1,5,4,0,0,3,0,0.39,0.10,0.49,0.39,0.49
Ousmane Dembélé,fr FRA,FW MF,Dortmund,19,1997,32,22,2 036,22.juin,6,11,17,6,0,0,7,0,0.27,0.49,0.75,0.27,0.75
Kerem Demirbay,de GER,MF,Hoffenheim,23,1993,28,27,2 169,24.janv,6,8,14,6,0,0,4,0,0.25,0.33,0.58,0.25,0.58
Diego Demme,de GER,DF MF,RB Leipzig,24,1991,32,32,2 87,31.9,1,3,4,1,0,0,4,0,0.03,0.09,0.13,0.03,0.13
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Franco Di Santo,ar ARG,FW,Schalke 04,27,1989,12,3,323,03.juin,0,2,2,0,0,0,2,0,0.00,0.56,0.56,0.00,0.56
Fallou Diagne,sn SEN,DF,Werder Bremen,26,1989,2,2,135,01.mai,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daniel Didavi,de GER,FW MF,Wolfsburg,26,1990,18,11,986,11.0,4,2,6,4,0,0,0,0,0.37,0.18,0.55,0.37,0.55
Dennis Diekmeier,de GER,DF MF,Hamburger SV,26,1989,24,21,1 78,19.août,0,1,1,0,0,0,7,1,0.00,0.05,0.05,0.00,0.05
Johan Djourou,ch SUI,DF,Hamburger SV,29,1987,14,12,1 144,12.juil,0,0,0,0,0,1,6,0,0.00,0.00,0.00,0.00,0.00
Giulio Donati,it ITA,DF,Mainz 05,26,1990,32,31,2 802,31.janv,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03
Ji Dong-won,kr KOR,FW MF,Augsburg,25,1991,34,24,2 297,25.mai,3,2,5,3,0,0,4,0,0.12,0.08,0.20,0.12,0.20
Bas Dost,nl NED,FW,Wolfsburg,27,1989,1,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Aleksandar Dragović,at AUT,DF MF,Leverkusen,25,1991,19,15,1 259,14.0,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07
Julian Draxler,de GER,FW MF,Wolfsburg,22,1993,13,12,1 05,11.juil,0,2,2,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17
Josip Drmić,ch SUI,FW,Gladbach,23,1992,12,2,282,03.janv,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jaroslav Drobný,cz CZE,GK,Werder Bremen,36,1979,10,10,849,09.avr,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Ondrej Duda,sk SVK,FW MF,Hertha BSC,21,1994,3,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Erik Durm,de GER,DF FW,Dortmund,24,1992,13,10,976,10.août,0,2,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18
Maximilian Eggestein,de GER,MF,Werder Bremen,19,1996,15,8,891,09.sept,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10
Albin Ekdal,se SWE,MF,Hamburger SV,27,1989,21,13,1 247,13.sept,1,1,2,1,0,0,4,1,0.07,0.07,0.14,0.07,0.14
Nico Elvedi,ch SUI,DF,Gladbach,19,1996,25,23,2 106,23.avr,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Breel Embolo,ch SUI,FW MF,Schalke 04,19,1997,7,4,341,03.août,2,0,2,2,0,0,0,0,0.53,0.00,0.53,0.53,0.53
Michael Esser,de GER,GK,Darmstadt 98,28,1987,28,28,2 484,27.juin,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Alexander Esswein,de GER,FW MF,Hertha BSC,26,1990,29,15,1 322,14.juil,2,2,4,2,0,0,4,0,0.14,0.14,0.27,0.14,0.27
