Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,03.sept,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Armando Broja,al ALB,FW,Chelsea,17,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Brooks,wls WAL,MF FW,Bournemouth,22,1997,9,8,506,05.juin,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.8,4,17,24,0.18,0.00,0.18,0.18,0.18,0.08,0.05,0.14,0.08,0.14
Josh Brownhill,eng ENG,MF,Burnley,23,1995,10,9,805,08.sept,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.7,2,20,15,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
Emi Buendía,ar ARG,FW MF,Norwich City,22,1996,36,28,2 464,27.avr,1,7,8,1,0,0,6,1,02.févr,02.févr,06.août,9.0,68,194,106,0.04,0.26,0.29,0.04,0.29,0.08,0.25,0.33,0.08,0.33
Dan Burn,eng ENG,DF,Brighton,27,1992,34,33,2 88,32.0,0,0,0,0,0,0,5,0,01.févr,01.févr,01.mars,02.mai,52,135,93,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
Sam Byram,eng ENG,DF,Norwich City,25,1993,17,15,1 293,14.avr,0,0,0,0,0,0,4,0,01.avr,01.avr,0.4,01.juil,21,41,58,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.12,0.10,0.12
Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,25,25,2 167,24.janv,0,1,1,0,0,0,1,0,01.juin,01.juin,0.2,01.août,5,48,2,0.00,0.04,0.04,0.00,0.04,0.06,0.01,0.07,0.06,0.07
Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,36,30,2 626,29.2,13,1,14,13,0,0,9,0,15.mars,15.mars,01.mai,16.août,40,50,156,0.45,0.03,0.48,0.45,0.48,0.52,0.05,0.57,0.52,0.57
