Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Miguel Britos;uy URU;DF;Watford;31;1985;27;27;2 282;25.avr;1;2;3;1;0;0;10;2;0.04;0.08;0.12;0.04;0.12
Leon Britton;eng ENG;MF;Swansea City;33;1982;16;16;1 163;12.sept;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00
Chris Brunt;nir NIR;DF MF;West Brom;31;1984;31;27;2 477;27.mai;3;4;7;3;0;0;5;0;0.11;0.15;0.25;0.11;0.25
Jack Butland;eng ENG;GK;Stoke City;23;1993;5;5;450;5.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Sam Byram;eng ENG;DF MF;West Ham;22;1993;18;13;1 249;13.sept;0;1;1;0;0;0;7;1;0.00;0.07;0.07;0.00;0.07
Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
Willy Caballero;ar ARG;GK;Manchester City;34;1981;17;16;1 452;16.janv;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Yohan Cabaye;fr FRA;MF;Crystal Palace;30;1986;32;25;2 125;23.juin;4;2;6;4;0;1;7;0;0.17;0.08;0.25;0.17;0.25
Martín Cáceres;uy URU;DF;Southampton;29;1987;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Gary Cahill;eng ENG;DF;Chelsea;30;1985;37;36;3 296;36.6;6;0;6;6;0;0;5;0;0.16;0.00;0.16;0.16;0.16
Jonathan Calleri;ar ARG;FW;West Ham;22;1993;16;4;540;6.0;1;0;1;1;0;0;0;0;0.17;0.00;0.17;0.17;0.17
Dominic Calvert-Lewin;eng ENG;FW MF;Everton;19;1997;11;5;347;03.sept;1;0;1;1;0;0;1;0;0.26;0.00;0.26;0.26;0.26
Geoff Cameron;us USA;DF MF;Stoke City;31;1985;19;18;1 629;18.janv;0;2;2;0;0;0;1;0;0.00;0.11;0.11;0.00;0.11
Fraizer Campbell;eng ENG;FW;Crystal Palace;28;1987;12;0;165;01.août;1;0;1;1;0;0;0;0;0.55;0.00;0.55;0.55;0.55
Emre Can;de GER;DF MF;Liverpool;22;1994;32;26;2 371;26.mars;5;2;7;5;0;0;6;0;0.19;0.08;0.27;0.19;0.27
