Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Dean Henderson,26,England,Goalkeeper,18000000,Manchester United,17500000
Fred,30,Brazil,Central Midfield,20000000,Manchester United,9740000
Sandro Tonali,23,Italy,Defensive Midfield,50000000,AC Milan,58900000
Harvey Barnes,25,Scotland,Left Wing,35000000,Leicester City,44000000
Tino Livramento,20,Scotland,Right-Back,25000000,Southampton FC,37200000
Yankuba Minteh,18,The Gambia,Right Wing,2000000,Odense Boldklub,8000000
Allan Saint-Maximin,26,Haiti,Left Wing,32000000,Newcastle United,27200000
Chris Wood,31,New Zealand,Centre-Forward,8000000,Newcastle United,17000000
Ibrahim Sangaré,25,Cote d'Ivoire,Defensive Midfield,35000000,PSV Eindhoven,35000000
Andrew Omobamidele,21,Nigeria,Centre-Back,6000000,Norwich City,12850000
Murillo,21,Brazil,Centre-Back,3500000,Sports Club Corinthians Paulista,12000000
Nicolás Domínguez,25,Italy,Central Midfield,17000000,Bologna FC 1909,6650000
Matz Sels,31,Belgium,Goalkeeper,7000000,RC Strasbourg Alsace,6500000
Odysseas Vlachodimos,29,Germany,Goalkeeper,16000000,SL Benfica,4900000
Brennan Johnson,22,England,Right Wing,38000000,Nottingham Forest,55000000
Gustavo Hamer,26,Brazil,Central Midfield,8000000,Coventry City,17300000
Vini Souza,24,Brazil,Defensive Midfield,6000000,Lommel SK,12500000
Bénie Traoré,20,Cote d'Ivoire,Left Wing,3500000,BK Hacken,4600000
Anis Slimane,22,Denmark,Central Midfield,2500000,Brøndby IF,2700000
Iliman Ndiaye,23,France,Right Wing,18000000,Sheffield United,17000000
James Maddison,26,England,Attacking Midfield,60000000,Leicester City,46300000
Pedro Porro,23,Spain,Right-Back,40000000,Sporting CP,40000000
Micky van de Ven,22,Netherlands,Centre-Back,30000000,VfL Wolfsburg,40000000
Dejan Kulusevski,23,North Macedonia,Attacking Midfield,50000000,Juventus FC,30000000
Radu Drăgușin,21,Romania,Centre-Back,20000000,Genoa CFC,25000000
Guglielmo Vicario,26,Italy,Goalkeeper,16000000,FC Empoli,18500000
Alejo Veliz,19,Argentina,Centre-Forward,7000000,CA Rosario Central,15000000
Harry Kane,30,Ireland,Centre-Forward,90000000,Tottenham Hotspur,95000000
Mohammed Kudus,23,Ghana,Right Wing,40000000,Ajax Amsterdam,43000000
Edson Álvarez,25,Mexico,Defensive Midfield,35000000,Ajax Amsterdam,38000000
James Ward-Prowse,28,England,Central Midfield,38000000,Southampton FC,34800000
Konstantinos Mavropanos,25,Greece,Centre-Back,15000000,VfB Stuttgart,20000000
Gianluca Scamacca,24,Italy,Centre-Forward,22000000,West Ham United,28000000
Nikola Vlašić,25,Croatia,Attacking Midfield,17000000,West Ham United,10600000
Pablo Fornals,27,Spain,Central Midfield,17000000,West Ham United,8000000
Matheus Cunha,24,Brazil,Second Striker,25000000,Atlético de Madrid,50000000
Jean-Ricner Bellegarde,25,France,Central Midfield,10000000,RC Strasbourg Alsace,15000000
Santiago Bueno,24,Italy,Centre-Back,8000000,Girona FC,12000000
Boubacar Traoré,21,Mali,Defensive Midfield,5000000,FC Metz,11000000
Enso González,18,Paraguay,Left Wing,1900000,Club Libertad Asunción,6000000
Rúben Neves,26,Portugal,Defensive Midfield,40000000,Wolverhampton Wanderers,55000000
