Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Rubén Castro,es ESP,FW MF,Betis,35,1981,35,32,2 777,30.sept,13,3,16,11,2,2,3,0,0.42,0.10,0.52,0.36,0.45
Goran Čaušić,rs SRB,MF,Osasuna,24,1992,26,22,2 008,22.mars,1,2,3,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13
Dani Ceballos,es ESP,MF,Betis,19,1996,30,24,2 339,26.0,2,2,4,2,0,0,8,0,0.08,0.08,0.15,0.08,0.15
Álvaro Cejudo,es ESP,MF,Betis,32,1984,17,6,815,09.janv,1,1,2,1,0,0,8,0,0.11,0.11,0.22,0.11,0.22
Alessio Cerci,it ITA,FW MF,Atlético Madrid,29,1987,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nereo Champagne,ar ARG,GK,Leganés,31,1985,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Charles,br BRA,FW,Málaga,32,1984,21,11,1 141,12.juil,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32
Pape Cheikh Diop,sn SEN,MF,Celta Vigo,18,1997,16,5,571,06.mars,1,0,1,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16
Denis Cheryshev,ru RUS,FW MF,Villarreal,25,1990,11,2,340,03.août,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Michaël Ciani,fr FRA,DF,Espanyol,32,1984,1,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jasper Cillessen,nl NED,GK,Barcelona,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Carlos Clerc,es ESP,DF MF,Osasuna,24,1992,25,22,1 947,21.juin,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05
Fábio Coentrão,pt POR,DF,Real Madrid,28,1988,3,2,169,01.sept,0,1,1,0,0,0,0,0,0.00,0.53,0.53,0.00,0.53
Emre Çolak,tr TUR,MF,La Coruña,25,1991,33,29,2 466,27.avr,3,6,9,3,0,1,5,0,0.11,0.22,0.33,0.11,0.33
David Concha,es ESP,FW MF,Real Sociedad,19,1996,8,1,116,01.mars,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Duje Čop,hr CRO,FW,Sporting Gijón,26,1990,31,27,2 273,25.mars,9,3,12,6,3,4,7,0,0.36,0.12,0.48,0.24,0.36
Ángel Correa,ar ARG,FW MF,Atlético Madrid,21,1995,31,10,1 229,13.juil,4,8,12,4,0,0,6,0,0.29,0.59,0.88,0.29,0.88
Joaquín Correa,ar ARG,FW MF,Sevilla,21,1994,26,15,1 313,14.juin,4,0,4,4,0,0,6,0,0.27,0.00,0.27,0.27,0.27
Jaume Costa,es ESP,DF,Villarreal,28,1988,31,30,2 68,29.août,1,3,4,1,0,0,13,1,0.03,0.10,0.13,0.03,0.13
David Costas,es ESP,DF,Celta Vigo,21,1995,1,1,90,1.0,0,1,1,0,0,0,1,0,0.00,1.00,1.00,0.00,1.00
Iván Cuéllar,es ESP,GK,Sporting Gijón,32,1984,36,36,3 24,36.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Isaac Cuenca,es ESP,FW MF,Granada,25,1991,25,18,1 746,19.avr,2,0,2,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10
Danilo,br BRA,DF MF,Real Madrid,25,1991,17,17,1 485,16.mai,1,2,3,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18
Martín Demichelis,ar ARG,DF MF,Málaga,35,1980,10,7,678,07.mai,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Martín Demichelis,ar ARG,DF MF,Espanyol,35,1980,2,1,99,01.janv,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Deyverson,br BRA,FW,Alavés,25,1991,32,29,2 58,28.juil,7,1,8,7,0,0,14,0,0.24,0.03,0.28,0.24,0.28
Marcelo Díaz,cl CHI,MF,Celta Vigo,29,1986,26,17,1 648,18.mars,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16
Víctor Díaz,es ESP,DF,Leganés,28,1988,23,20,1 81,20.janv,1,1,2,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10
Didier Digard,fr FRA,MF,Osasuna,30,1986,3,3,192,02.janv,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Lucas Digne,fr FRA,DF MF,Barcelona,23,1993,17,14,1 171,13.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Papakouli Diop,sn SEN,MF,Espanyol,30,1986,18,9,906,10.janv,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
Jaume Doménech,es ESP,GK,Valencia,25,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ryan Donk,sr SUR,DF MF,Betis,30,1986,16,9,859,09.mai,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10
Jonathan dos Santos,mx MEX,MF,Villarreal,26,1990,34,22,2 214,24.juin,2,3,5,2,0,0,4,0,0.08,0.12,0.20,0.08,0.20
Mauro dos Santos,ar ARG,DF,Eibar,27,1989,11,8,763,08.mai,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Douglas,br BRA,DF,Sporting Gijón,25,1990,21,20,1 717,19.janv,3,0,3,3,0,0,6,0,0.16,0.00,0.16,0.16,0.16
Óscar Duarte,cr CRC,DF,Espanyol,27,1989,15,13,1 124,12.mai,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Rubén Duarte,es ESP,DF,Espanyol,20,1995,3,1,102,01.janv,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
