Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ermin Bičakčić,ba BIH,DF,Hoffenheim,30,1990,2,2,128,01.avr,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,0,4,0,0.70,0.00,0.70,0.70,0.70,0.25,0.00,0.25,0.25,0.25
Leonardo Bittencourt,de GER,MF FW,Werder Bremen,26,1993,27,19,1 514,16.août,4,1,5,3,1,1,3,0,04.mars,03.juin,1.0,04.juin,40,42,106,0.24,0.06,0.30,0.18,0.24,0.26,0.06,0.32,0.21,0.27
Jérôme Boateng,de GER,DF,Bayern Munich,31,1988,29,29,2 368,26.mars,1,1,2,1,0,0,6,0,0.4,0.4,0.5,0.9,8,184,7,0.04,0.04,0.08,0.04,0.08,0.01,0.02,0.03,0.01,0.03
Jean-Paul Boëtius,sr SUR,MF FW,Mainz 05,26,1994,31,23,2 065,22.sept,2,4,6,2,0,0,5,0,02.juin,02.juin,06.janv,08.juil,33,109,96,0.09,0.17,0.26,0.09,0.26,0.11,0.27,0.38,0.11,0.38
Melayro Bogarde,nl NED,DF MF,Hoffenheim,18,2002,9,2,277,03.janv,0,1,1,0,0,0,1,0,0.2,0.2,0.2,0.4,5,18,9,0.00,0.32,0.32,0.00,0.32,0.05,0.08,0.13,0.05,0.13
Elias Bördner,de GER,GK,Eint Frankfurt,18,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dennis Borkowski,de GER,MF FW,RB Leipzig,18,2002,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sebastiaan Bornauw,be BEL,DF,Köln,21,1999,24,23,2 083,23.janv,1,1,2,1,0,0,3,0,01.mai,01.mai,0.0,01.mai,4,43,4,0.04,0.04,0.09,0.04,0.09,0.07,0.00,0.07,0.06,0.06
Nassim Boujellab,ma MAR,MF FW,Schalke 04,21,1999,12,6,605,06.juil,1,0,1,1,0,0,2,0,01.juin,01.juin,0.2,01.août,9,22,29,0.15,0.00,0.15,0.15,0.15,0.23,0.03,0.26,0.23,0.26
Dedryck Boyata,be BEL,DF,Hertha BSC,29,1990,19,17,1 545,17.févr,1,0,1,1,0,0,3,0,0.6,0.6,0.8,01.avr,2,44,3,0.06,0.00,0.06,0.06,0.06,0.04,0.04,0.08,0.04,0.08
Can Bozdogan,de GER,MF FW,Schalke 04,19,2001,14,5,651,07.févr,0,2,2,0,0,0,0,0,0.5,0.5,0.7,01.févr,9,16,18,0.00,0.28,0.28,0.00,0.28,0.07,0.09,0.17,0.07,0.17
Julian Brandt,de GER,FW MF,Dortmund,24,1996,31,17,1 495,16.juin,3,2,5,3,0,0,0,0,02.févr,02.févr,02.mars,04.juin,39,102,142,0.18,0.12,0.30,0.18,0.30,0.14,0.14,0.28,0.14,0.28
Fabian Bredlow,de GER,GK,Stuttgart,25,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Josip Brekalo,hr CRO,FW,Wolfsburg,22,1998,29,22,1 814,20.févr,7,3,10,7,0,0,1,0,03.juin,03.juin,03.août,07.avr,69,82,155,0.35,0.15,0.50,0.35,0.50,0.18,0.19,0.37,0.18,0.37
Joshua Brenet,cw CUW,DF,Hoffenheim,26,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Brooks,us USA,DF,Wolfsburg,27,1993,32,31,2 774,30.août,2,0,2,2,0,0,5,0,01.juin,01.juin,0.4,02.janv,28,144,6,0.06,0.00,0.06,0.06,0.06,0.05,0.01,0.07,0.05,0.07
