,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Pierre Højbjerg,dk DEN,MF,Southampton,21,1995,23,19,1 67,18.juin,0,0,0,0,0,0,6,0,1.0,1.0,0.6,01.mai,19,90,37,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Jordon Ibe,eng ENG,MF FW,Bournemouth,21,1995,32,22,1 995,22.févr,2,6,8,2,0,0,1,0,3.0,3.0,03.mars,06.mars,78,95,149,0.09,0.27,0.36,0.09,0.36,0.13,0.15,0.28,0.13,0.28
Vicente Iborra,es ESP,MF,Leicester City,29,1988,19,17,1 41,15.juil,3,0,3,3,0,0,0,0,01.juil,01.juil,0.5,02.févr,8,79,15,0.19,0.00,0.19,0.19,0.19,0.11,0.03,0.14,0.11,0.14
Zlatan Ibrahimović,se SWE,MF FW,Manchester Utd,35,1981,5,1,106,01.févr,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,9,12,0.00,0.00,0.00,0.00,0.00,0.18,0.08,0.26,0.18,0.26
Kelechi Iheanacho,ng NGA,FW MF,Leicester City,20,1996,21,7,830,09.févr,3,3,6,3,0,0,2,0,04.janv,04.janv,02.mars,06.mars,21,26,54,0.33,0.33,0.65,0.33,0.65,0.44,0.25,0.69,0.44,0.69
Tom Ince,eng ENG,MF FW,Huddersfield,25,1992,33,27,2 452,27.févr,2,0,2,2,0,0,0,0,06.avr,06.avr,01.avr,07.août,57,60,125,0.07,0.00,0.07,0.07,0.07,0.24,0.05,0.29,0.24,0.29
Danny Ings,eng ENG,FW,Liverpool,25,1992,8,3,267,3.0,1,0,1,1,0,0,0,0,01.janv,01.janv,0.1,01.mars,2,9,23,0.34,0.00,0.34,0.34,0.34,0.38,0.05,0.42,0.38,0.42
Stephen Ireland,ie IRL,MF FW,Stoke City,30,1986,4,1,131,01.mai,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,0,7,5,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.28,0.25,0.28
Alex Iwobi,ng NGA,MF FW,Arsenal,21,1996,26,22,1 83,20.mars,3,5,8,3,0,0,1,0,03.sept,03.sept,03.mai,07.mars,93,138,146,0.15,0.25,0.39,0.15,0.39,0.19,0.17,0.36,0.19,0.36
José Izquierdo,co COL,MF FW,Brighton,25,1992,32,23,1 984,22.0,5,3,8,5,0,0,2,0,03.août,03.août,02.févr,05.sept,67,36,161,0.23,0.14,0.36,0.23,0.36,0.17,0.10,0.27,0.17,0.27
Phil Jagielka,eng ENG,DF,Everton,34,1982,25,23,2 065,22.sept,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,4,53,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Eldin Jakupović,ch SUI,GK,Leicester City,32,1984,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Matty James,eng ENG,MF,Leicester City,26,1991,13,11,993,11.0,0,0,0,0,0,0,2,0,01.mars,01.mars,0.1,01.mai,7,28,14,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13
Daryl Janmaat,nl NED,DF,Watford,28,1989,23,21,1 82,20.févr,3,0,3,3,0,0,3,0,01.août,01.août,1.0,02.août,29,107,55,0.15,0.00,0.15,0.15,0.15,0.09,0.05,0.14,0.09,0.14
Vincent Janssen,nl NED,DF,Tottenham,23,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jesé,es ESP,FW MF,Stoke City,24,1993,13,8,614,06.août,1,1,2,1,0,0,0,0,0.9,0.9,0.7,01.juin,19,14,51,0.15,0.15,0.29,0.15,0.29,0.13,0.10,0.23,0.13,0.23
Gabriel Jesus,br BRA,FW,Manchester City,20,1997,29,19,1 668,18.mai,13,3,16,13,0,2,6,0,13.août,12.févr,02.janv,14.mars,28,49,181,0.70,0.16,0.86,0.70,0.86,0.74,0.11,0.86,0.66,0.77
Glen Johnson,eng ENG,DF,Stoke City,32,1984,9,7,547,06.janv,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,5,23,9,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05
Phil Jones,eng ENG,DF,Manchester Utd,25,1992,23,23,1 973,21.sept,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,13,45,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
Joselu,es ESP,FW,Newcastle Utd,27,1990,30,19,1 712,19.0,4,1,5,4,0,1,2,0,6.0,05.févr,01.févr,06.avr,5,41,107,0.21,0.05,0.26,0.21,0.26,0.31,0.06,0.38,0.27,0.34
Mathias Jørgensen,dk DEN,DF,Huddersfield,27,1990,38,38,3 42,38.0,0,2,2,0,0,0,6,0,01.sept,01.sept,0.9,02.sept,21,120,8,0.00,0.05,0.05,0.00,0.05,0.05,0.02,0.08,0.05,0.08
Christian Kabasele,be BEL,DF,Watford,26,1991,28,27,2 33,25.sept,2,0,2,2,0,0,5,0,0.7,0.7,0.1,0.9,10,74,7,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.03,0.03,0.03
Younès Kaboul,fr FRA,DF,Watford,31,1986,2,2,150,01.juil,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Elias Kachunga,cd COD,FW MF,Huddersfield,25,1992,19,17,1 329,14.août,1,1,2,1,0,0,1,0,01.sept,01.sept,0.6,02.juin,32,24,95,0.07,0.07,0.14,0.07,0.14,0.13,0.04,0.17,0.13,0.17
Sullay Kaikai,sl SLE,MF,Crystal Palace,21,1995,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Harry Kane,eng ENG,FW,Tottenham,24,1993,37,35,3 076,34.2,30,2,32,28,2,3,5,0,24.août,22.avr,02.juil,25.janv,58,94,261,0.88,0.06,0.94,0.82,0.88,0.72,0.08,0.80,0.66,0.73
N'Golo Kanté,fr FRA,MF,Chelsea,26,1991,34,34,2 994,33.3,1,1,2,1,0,0,3,0,0.8,0.8,02.sept,03.juin,88,274,45,0.03,0.03,0.06,0.03,0.06,0.02,0.09,0.11,0.02,0.11
Loris Karius,de GER,GK,Liverpool,24,1993,19,19,1 71,19.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Orestis Karnezis,gr GRE,GK,Watford,32,1985,15,14,1 292,14.avr,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Beram Kayal,il ISR,MF,Brighton,29,1988,19,8,745,08.mars,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,4,27,13,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
Michael Keane,eng ENG,DF,Everton,24,1993,30,29,2 56,28.avr,0,1,1,0,0,0,3,0,01.janv,01.janv,0.5,01.juin,11,83,3,0.00,0.04,0.04,0.00,0.04,0.04,0.02,0.06,0.04,0.06
Martin Kelly,eng ENG,DF,Crystal Palace,27,1990,15,12,1 195,13.mars,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.6,5,16,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Kenedy,br BRA,MF DF,Newcastle Utd,21,1996,13,13,1 023,11.avr,2,2,4,2,0,0,1,0,02.avr,02.avr,01.juil,04.févr,30,21,55,0.18,0.18,0.35,0.18,0.35,0.21,0.15,0.37,0.21,0.37
Jonjoe Kenny,eng ENG,DF,Everton,20,1997,19,17,1 59,17.juil,0,1,1,0,0,0,2,0,0.1,0.1,01.mai,01.juin,16,48,51,0.00,0.06,0.06,0.00,0.06,0.01,0.08,0.09,0.01,0.09
Andy King,wls WAL,MF,Leicester City,28,1988,11,5,537,6.0,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,3,13,6,0.17,0.00,0.17,0.17,0.17,0.09,0.02,0.10,0.09,0.10
Andy King,wls WAL,MF,Swansea City,28,1988,11,9,715,07.sept,2,1,3,2,0,0,1,0,1.0,1.0,0.2,01.févr,5,38,5,0.25,0.13,0.38,0.25,0.38,0.12,0.03,0.15,0.12,0.15
Joshua King,no NOR,FW MF,Bournemouth,25,1992,33,27,2 453,27.mars,8,3,11,6,2,2,3,0,06.mai,04.sept,04.sept,09.août,84,83,215,0.29,0.11,0.40,0.22,0.33,0.24,0.18,0.42,0.18,0.36
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Davy Klaassen,nl NED,MF FW,Everton,24,1993,7,3,251,02.août,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,11,4,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
Ragnar Klavan,ee EST,DF,Liverpool,31,1985,19,16,1 451,16.janv,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.0,15,73,5,0.06,0.00,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06
Anthony Knockaert,fr FRA,MF FW,Brighton,25,1991,33,27,2 421,26.sept,3,1,4,3,0,0,4,1,04.janv,04.janv,03.févr,07.mars,92,124,153,0.11,0.04,0.15,0.11,0.15,0.15,0.12,0.27,0.15,0.27
Sead Kolašinac,ba BIH,DF,Arsenal,24,1993,27,25,2 147,23.sept,2,4,6,2,0,0,3,0,02.févr,02.févr,03.mai,05.août,68,105,186,0.08,0.17,0.25,0.08,0.25,0.09,0.15,0.24,0.09,0.24
Vincent Kompany,be BEL,DF,Manchester City,31,1986,17,17,1 394,15.mai,1,1,2,1,0,0,6,0,0.8,0.8,0.5,01.mars,31,85,3,0.06,0.06,0.13,0.06,0.13,0.05,0.03,0.08,0.05,0.08
Terence Kongolo,nl NED,DF,Huddersfield,23,1994,13,11,1 049,11.juil,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,7,36,21,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Laurent Koscielny,fr FRA,DF,Arsenal,31,1985,25,25,2 225,24.juil,2,0,2,2,0,0,4,0,01.sept,01.sept,0.4,02.mars,25,124,10,0.08,0.00,0.08,0.08,0.08,0.08,0.02,0.09,0.08,0.09
Cheikhou Kouyaté,sn SEN,MF,West Ham,27,1989,33,32,2 799,31.janv,2,3,5,2,0,0,5,0,02.juil,02.juil,01.janv,03.août,27,66,64,0.06,0.10,0.16,0.06,0.16,0.09,0.04,0.12,0.09,0.12
Bojan Krkić,es ESP,MF,Stoke City,26,1990,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
Grzegorz Krychowiak,pl POL,MF,West Brom,27,1990,27,20,1 641,18.févr,0,2,2,0,0,0,2,0,0.8,0.8,01.août,02.juin,22,101,25,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.14,0.04,0.14
Rajiv van La Parra,nl NED,FW MF,Huddersfield,26,1991,33,26,2 137,23.juil,3,0,3,2,1,1,3,1,03.janv,02.mars,0.9,03.févr,114,65,136,0.13,0.00,0.13,0.08,0.08,0.13,0.04,0.17,0.10,0.13
Alexandre Lacazette,fr FRA,FW,Arsenal,26,1991,32,26,2 202,24.mai,14,4,18,12,2,2,1,0,13.juil,12.janv,04.avr,16.mai,39,59,233,0.57,0.16,0.74,0.49,0.65,0.56,0.18,0.74,0.49,0.67
Freddie Ladapo,eng ENG,FW,Crystal Palace,24,1993,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adam Lallana,eng ENG,MF FW,Liverpool,29,1988,12,1,244,02.juil,0,0,0,0,0,0,1,0,01.mai,01.mai,0.4,01.août,12,33,38,0.00,0.00,0.00,0.00,0.00,0.55,0.13,0.68,0.55,0.68
Érik Lamela,ar ARG,FW MF,Tottenham,25,1992,25,7,843,09.avr,2,2,4,2,0,0,4,0,03.avr,03.avr,2.0,05.avr,30,46,116,0.21,0.21,0.43,0.21,0.43,0.37,0.21,0.57,0.37,0.57
Manuel Lanzini,ar ARG,MF FW,West Ham,24,1993,27,23,2 042,22.juil,5,6,11,5,0,1,4,0,03.sept,03.janv,04.janv,07.févr,65,156,96,0.22,0.26,0.48,0.22,0.48,0.17,0.18,0.35,0.14,0.32
Aymeric Laporte,es ESP,DF,Manchester City,23,1994,9,9,806,9.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,15,72,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,23,1993,33,32,2 928,32.5,3,0,3,3,0,0,5,0,01.janv,01.janv,0.7,01.août,17,73,10,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05
Florian Lejeune,fr FRA,DF,Newcastle Utd,26,1991,24,24,2 103,23.avr,0,2,2,0,0,0,3,0,0.6,0.6,01.mai,02.janv,18,67,4,0.00,0.09,0.09,0.00,0.09,0.03,0.06,0.09,0.03,0.09
Mario Lemina,ga GAB,MF,Southampton,23,1993,25,20,1 72,19.janv,1,1,2,1,0,0,2,0,0.8,0.8,0.7,01.mai,51,86,36,0.05,0.05,0.10,0.05,0.10,0.04,0.04,0.08,0.04,0.08
Aaron Lennon,eng ENG,MF,Burnley,30,1987,14,13,1 118,12.avr,0,2,2,0,0,0,2,0,0.6,0.6,0.8,01.avr,26,28,60,0.00,0.16,0.16,0.00,0.16,0.05,0.07,0.11,0.05,0.11
Aaron Lennon,eng ENG,FW MF,Everton,30,1987,15,9,793,08.août,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,17,19,33,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05
Victor Lindelöf,se SWE,DF,Manchester Utd,23,1994,17,13,1 285,14.mars,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,11,42,6,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Jesse Lingard,eng ENG,MF FW,Manchester Utd,24,1992,33,20,1 817,20.févr,8,5,13,8,0,0,2,0,07.janv,07.janv,02.août,09.sept,78,75,143,0.40,0.25,0.64,0.40,0.64,0.35,0.14,0.49,0.35,0.49
Jake Livermore,eng ENG,MF,West Brom,27,1989,34,30,2 674,29.juil,2,2,4,2,0,0,5,0,02.mars,02.mars,01.sept,04.févr,26,133,55,0.07,0.07,0.13,0.07,0.13,0.08,0.06,0.14,0.08,0.14
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Fernando Llorente,es ESP,FW MF,Tottenham,32,1985,16,1,238,02.juin,1,0,1,1,0,0,1,0,1.0,1.0,0.2,01.févr,3,4,32,0.38,0.00,0.38,0.38,0.38,0.38,0.06,0.44,0.38,0.44
Hugo Lloris,fr FRA,GK,Tottenham,30,1986,36,36,3 24,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jürgen Locadia,cw CUW,FW MF,Brighton,23,1993,6,3,224,02.mai,1,1,2,1,0,0,0,0,01.janv,01.janv,0.1,01.févr,2,4,11,0.40,0.40,0.80,0.40,0.80,0.44,0.04,0.48,0.44,0.48
Ruben Loftus-Cheek,eng ENG,MF,Crystal Palace,21,1996,24,21,1 874,20.août,2,3,5,2,0,0,1,0,03.mai,03.mai,03.févr,06.juil,94,106,126,0.10,0.14,0.24,0.10,0.24,0.17,0.15,0.32,0.17,0.32
Joe Lolley,eng ENG,FW MF,Huddersfield,24,1992,6,2,221,02.mai,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,11,11,17,0.41,0.00,0.41,0.41,0.41,0.05,0.03,0.08,0.05,0.08
Kevin Long,ie IRL,DF,Burnley,26,1990,16,16,1 44,16.0,1,2,3,1,0,0,1,0,01.févr,01.févr,01.mars,02.mai,1,28,1,0.06,0.12,0.19,0.06,0.19,0.07,0.08,0.15,0.07,0.15
Shane Long,ie IRL,FW,Southampton,30,1987,30,15,1 582,17.juin,2,1,3,2,0,0,6,0,03.juil,03.juil,01.mars,5.0,17,21,151,0.11,0.06,0.17,0.11,0.17,0.21,0.07,0.29,0.21,0.29
Ademola Lookman,ng NGA,FW MF,Everton,19,1997,7,1,159,01.août,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,8,6,7,0.00,0.00,0.00,0.00,0.00,0.06,0.26,0.32,0.06,0.32
Jonas Lössl,dk DEN,GK,Huddersfield,28,1989,38,38,3 42,38.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.02,0.02,0.00,0.02
Dejan Lovren,hr CRO,DF,Liverpool,28,1989,29,24,2 127,23.juin,2,1,3,2,0,0,4,0,01.avr,01.avr,01.mars,02.juin,20,98,7,0.08,0.04,0.13,0.08,0.13,0.06,0.05,0.11,0.06,0.11
Chris Löwe,de GER,DF,Huddersfield,28,1989,23,19,1 588,17.juin,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.7,34,55,49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Matthew Lowton,eng ENG,DF,Burnley,28,1989,26,25,2 295,25.mai,0,3,3,0,0,0,1,0,0.1,0.1,01.juin,01.juil,18,82,69,0.00,0.12,0.12,0.00,0.12,0.00,0.06,0.07,0.00,0.07
David Luiz,br BRA,DF MF,Chelsea,30,1987,10,9,840,09.mars,1,0,1,1,0,0,4,1,0.9,0.9,0.0,1.0,19,31,4,0.11,0.00,0.11,0.11,0.11,0.10,0.00,0.10,0.10,0.10
Romelu Lukaku,be BEL,FW,Manchester Utd,24,1993,34,33,2 867,31.9,16,7,23,16,0,1,4,0,13.févr,12.avr,04.juil,17.0,57,63,216,0.50,0.22,0.72,0.50,0.72,0.41,0.15,0.56,0.39,0.54
Dodi Lukebakio,be BEL,MF FW,Watford,19,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.15,0.59,0.75,0.15,0.75
Levi Lumeka,eng ENG,FW,Crystal Palace,18,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,3,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
Harry Maguire,eng ENG,DF,Leicester City,24,1993,38,38,3 42,38.0,2,4,6,2,0,0,7,0,02.août,02.août,04.janv,06.sept,58,178,18,0.05,0.11,0.16,0.05,0.16,0.07,0.11,0.18,0.07,0.18
Riyad Mahrez,dz ALG,MF FW,Leicester City,26,1991,36,34,2 95,32.8,12,10,22,12,0,0,2,0,06.mai,06.mai,07.févr,13.août,121,190,191,0.37,0.31,0.67,0.37,0.67,0.20,0.22,0.42,0.20,0.42
Ainsley Maitland-Niles,eng ENG,DF MF,Arsenal,19,1997,15,8,914,10.févr,0,0,0,0,0,0,1,0,0.2,0.2,0.9,01.janv,21,35,58,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.11,0.02,0.11
Scott Malone,eng ENG,DF,Huddersfield,26,1991,22,12,1 119,12.avr,0,1,1,0,0,0,3,0,0.5,0.5,0.5,1.0,48,51,69,0.00,0.08,0.08,0.00,0.08,0.04,0.04,0.08,0.04,0.08
Sadio Mané,sn SEN,FW,Liverpool,25,1992,29,28,2 19,24.mars,10,7,17,10,0,0,3,1,10.juin,10.juin,05.avr,16.0,112,120,270,0.41,0.29,0.70,0.41,0.70,0.44,0.22,0.66,0.44,0.66
Eliaquim Mangala,fr FRA,DF,Manchester City,26,1991,9,4,488,05.avr,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,5,15,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
Eliaquim Mangala,fr FRA,DF,Everton,26,1991,2,2,134,01.mai,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,7,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Javier Manquillo,es ESP,DF,Newcastle Utd,23,1994,21,20,1 758,19.mai,0,1,1,0,0,0,2,0,0.1,0.1,01.mars,01.avr,29,55,33,0.00,0.05,0.05,0.00,0.05,0.00,0.07,0.07,0.00,0.07
Solly March,eng ENG,MF FW,Brighton,23,1994,36,18,1 851,20.juin,1,1,2,1,0,0,3,0,01.mai,01.mai,01.avr,02.sept,59,60,141,0.05,0.05,0.10,0.05,0.10,0.07,0.07,0.14,0.07,0.14
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Adrian Mariappa,jm JAM,DF,Watford,30,1986,28,24,2 21,24.juin,0,0,0,0,0,0,4,0,0.7,0.7,0.2,0.8,8,60,6,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
João Mário,pt POR,MF,West Ham,24,1993,13,12,1 022,11.avr,2,1,3,2,0,0,0,0,01.juil,01.juil,01.avr,03.janv,34,43,74,0.18,0.09,0.26,0.18,0.26,0.15,0.12,0.27,0.15,0.27
Anthony Martial,fr FRA,FW,Manchester Utd,21,1995,30,18,1 582,17.juin,9,5,14,8,1,1,1,0,06.mars,05.mai,05.janv,10.juin,107,52,182,0.51,0.28,0.80,0.46,0.74,0.36,0.29,0.65,0.31,0.60
Cuco Martina,cw CUW,DF,Everton,27,1989,21,20,1 83,20.mars,0,2,2,0,0,0,2,0,0.1,0.1,01.avr,01.mai,28,68,74,0.00,0.10,0.10,0.00,0.10,0.00,0.07,0.07,0.00,0.07
Bruno Martins Indi,nl NED,DF,Stoke City,25,1992,17,14,1 243,13.août,0,0,0,0,0,0,3,0,1.0,1.0,0.1,01.janv,2,28,4,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08
Arthur Masuaku,cd COD,DF,West Ham,23,1993,27,21,1 87,20.août,0,3,3,0,0,0,5,0,0.3,0.3,2.0,02.févr,94,56,115,0.00,0.14,0.14,0.00,0.14,0.01,0.09,0.11,0.01,0.11
Juan Mata,es ESP,FW,Manchester Utd,29,1988,28,23,1 922,21.avr,3,5,8,3,0,0,1,0,03.juil,03.juil,04.mai,08.mars,46,101,162,0.14,0.23,0.37,0.14,0.37,0.18,0.21,0.39,0.18,0.39
Nemanja Matić,rs SRB,MF,Manchester Utd,28,1988,36,35,3 118,34.6,1,1,2,1,0,0,6,0,0.7,0.7,01.juin,02.mars,74,237,23,0.03,0.03,0.06,0.03,0.06,0.02,0.05,0.07,0.02,0.07
Joël Matip,cm CMR,DF,Liverpool,25,1991,25,22,1 997,22.févr,1,0,1,1,0,0,3,0,01.sept,01.sept,0.3,02.févr,23,108,5,0.05,0.00,0.05,0.05,0.05,0.09,0.01,0.10,0.09,0.10
Konstantinos Mavropanos,gr GRE,DF,Arsenal,19,1997,3,3,195,02.févr,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alfie Mawson,eng ENG,DF,Swansea City,23,1994,38,38,3 42,38.0,2,1,3,2,0,0,3,0,01.sept,01.sept,0.6,02.mai,29,92,8,0.05,0.03,0.08,0.05,0.08,0.05,0.02,0.06,0.05,0.06
Eric Maxim Choupo-Moting,cm CMR,FW MF,Stoke City,28,1989,30,26,2 314,25.juil,5,5,10,5,0,0,3,0,05.sept,05.sept,03.janv,09.janv,72,56,173,0.19,0.19,0.39,0.19,0.39,0.24,0.13,0.36,0.24,0.36
Chancel Mbemba,cd COD,DF,Newcastle Utd,22,1994,9,7,672,07.mai,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9,21,11,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
James McArthur,sct SCO,MF,Crystal Palace,29,1987,33,27,2 431,27.0,5,1,6,5,0,0,5,0,03.juil,03.juil,02.févr,05.sept,32,107,94,0.19,0.04,0.22,0.19,0.22,0.14,0.08,0.22,0.14,0.22
Gareth McAuley,nir NIR,DF,West Brom,37,1979,9,5,458,05.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oliver McBurnie,sct SCO,FW MF,Swansea City,21,1996,11,2,276,03.janv,0,1,1,0,0,0,0,0,0.4,0.4,0.7,01.janv,4,9,26,0.00,0.33,0.33,0.00,0.33,0.14,0.22,0.36,0.14,0.36
Alex McCarthy,eng ENG,GK,Southampton,27,1989,18,18,1 62,18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
James McCarthy,ie IRL,MF,Everton,26,1990,4,3,205,02.mars,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,12,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
James McClean,ie IRL,MF FW,West Brom,28,1989,30,14,1 406,15.juin,1,0,1,1,0,0,7,0,01.août,01.août,0.8,02.juil,49,12,94,0.06,0.00,0.06,0.06,0.06,0.12,0.05,0.17,0.12,0.17
Sam McQueen,eng ENG,DF MF,Southampton,22,1995,7,1,148,01.juin,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,7,4,5,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11
Scott McTominay,sct SCO,MF,Manchester Utd,20,1996,13,7,634,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,11,48,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Ben Mee,eng ENG,DF,Burnley,27,1989,29,29,2 61,29.0,0,0,0,0,0,0,5,0,01.sept,01.sept,0.5,02.mars,5,77,3,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
