,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Étienne Capoue,fr FRA,MF,Watford,29,1988,23,18,1 542,17.janv,1,0,1,1,0,0,3,0,0.8,0.8,0.6,01.avr,8,74,22,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08
Michael Carrick,eng ENG,MF,Manchester Utd,36,1981,2,1,109,01.févr,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,15,1,0.00,0.00,0.00,0.00,0.00,0.43,0.05,0.48,0.43,0.48
André Carrillo,pe PER,FW MF,Watford,26,1991,28,16,1 54,17.janv,1,2,3,1,0,0,2,0,02.mars,02.mars,02.août,05.janv,71,72,97,0.06,0.12,0.18,0.06,0.18,0.14,0.16,0.30,0.14,0.30
Guido Carrillo,ar ARG,FW,Southampton,26,1991,7,5,450,5.0,0,1,1,0,0,0,0,0,0.7,0.7,0.4,1.0,3,8,32,0.00,0.20,0.20,0.00,0.20,0.13,0.08,0.21,0.13,0.21
Andy Carroll,eng ENG,FW,West Ham,28,1989,16,7,750,08.mars,3,0,3,3,0,0,7,1,01.août,01.août,0.5,02.avr,6,11,42,0.36,0.00,0.36,0.36,0.36,0.22,0.06,0.28,0.22,0.28
Tom Carroll,eng ENG,MF,Swansea City,25,1992,37,28,2 57,28.juin,0,4,4,0,0,0,3,0,0.9,0.9,04.janv,5.0,54,179,57,0.00,0.14,0.14,0.00,0.14,0.03,0.14,0.18,0.03,0.18
Craig Cathcart,nir NIR,DF,Watford,28,1989,7,5,523,05.août,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,11,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Petr Čech,cz CZE,GK,Arsenal,35,1982,34,34,3 039,33.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nacer Chadli,be BEL,FW MF,West Brom,27,1989,5,2,260,02.sept,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,4,7,8,0.35,0.00,0.35,0.35,0.35,0.08,0.04,0.11,0.08,0.11
Nathaniel Chalobah,eng ENG,MF,Watford,22,1994,6,5,447,5.0,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.9,7,22,14,0.00,0.00,0.00,0.00,0.00,0.17,0.01,0.18,0.17,0.18
Calum Chambers,eng ENG,DF,Arsenal,22,1995,12,10,866,09.juin,0,0,0,0,0,0,1,0,01.avr,01.avr,0.1,01.mai,11,43,20,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16
