Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ezequiel Ávila,ar ARG,FW MF,Osasuna,26,1994,8,2,202,02.févr,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,6,9,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
Ramon Azeez,ng NGA,MF,Granada,27,1992,2,1,101,01.janv,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Carlos Bacca,co COL,FW,Villarreal,33,1986,23,9,786,08.juil,5,0,5,5,0,0,1,0,03.févr,03.févr,1.0,04.févr,11,14,52,0.57,0.00,0.57,0.57,0.57,0.36,0.12,0.48,0.36,0.48
Édgar Badía,es ESP,GK,Elche,28,1992,30,30,2 7,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alex Baena,es ESP,MF,Villarreal,19,2001,6,2,137,01.mai,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,5,12,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11
Miguel Baeza,es ESP,MF FW,Celta Vigo,20,2000,22,4,543,6.0,1,0,1,1,0,0,0,0,01.juin,01.juin,0.7,02.mars,9,15,26,0.17,0.00,0.17,0.17,0.17,0.26,0.12,0.38,0.26,0.38
Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,23,17,1 689,18.août,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,28,52,48,0.00,0.05,0.05,0.00,0.05,0.00,0.04,0.05,0.00,0.05
Barcia,es ESP,DF,Granada,19,2000,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Enis Bardhi,mk MKD,MF,Levante,25,1995,26,19,1 682,18.juil,1,2,3,1,0,0,4,0,02.juil,02.juil,01.janv,03.sept,44,117,117,0.05,0.11,0.16,0.05,0.16,0.15,0.06,0.21,0.15,0.21
Kike Barja,es ESP,MF FW,Osasuna,23,1997,33,17,1 433,15.sept,2,3,5,2,0,0,2,0,02.juin,02.juin,2.0,04.juin,46,55,143,0.13,0.19,0.31,0.13,0.31,0.16,0.12,0.29,0.16,0.29
Marc Baró,es ESP,DF,Cádiz,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,3,0,2,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17
Antonio Barragán,es ESP,DF,Elche,33,1987,27,26,2 235,24.août,0,3,3,0,0,0,8,0,0.9,0.9,0.7,01.juin,34,69,63,0.00,0.12,0.12,0.00,0.12,0.04,0.03,0.07,0.04,0.07
Ander Barrenetxea,es ESP,MF FW,Real Sociedad,18,2001,31,13,1 307,14.mai,3,0,3,3,0,0,7,0,01.sept,01.sept,01.sept,03.août,37,37,106,0.21,0.00,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Marc Bartra,es ESP,DF,Betis,29,1991,19,19,1 694,18.août,0,1,1,0,0,0,3,0,0.6,0.6,1.0,01.juin,4,31,4,0.00,0.05,0.05,0.00,0.05,0.03,0.05,0.08,0.03,0.08
Álvaro Bastida,es ESP,MF,Cádiz,16,2004,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,32,29,2 492,27.juil,1,0,1,1,0,0,10,1,01.févr,01.févr,0.2,01.mars,22,73,14,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05
Jon Bautista,es ESP,FW,Real Sociedad,25,1995,21,0,370,04.janv,0,1,1,0,0,0,3,0,0.9,0.9,0.3,01.févr,5,3,26,0.00,0.24,0.24,0.00,0.24,0.23,0.07,0.30,0.23,0.30
Fran Beltrán,es ESP,MF FW,Celta Vigo,21,1999,32,13,1 399,15.mai,3,0,3,3,0,0,3,0,01.févr,01.févr,0.3,01.avr,8,55,21,0.19,0.00,0.19,0.19,0.19,0.08,0.02,0.09,0.08,0.09
Sergio Benito,es ESP,FW,Valladolid,21,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Karim Benzema,fr FRA,FW,Real Madrid,32,1987,34,33,2 894,32.2,23,9,32,22,1,1,2,0,18.mai,17.juil,06.avr,24.janv,107,114,256,0.72,0.28,1.00,0.68,0.96,0.58,0.20,0.78,0.55,0.75
Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,23,21,1 682,18.juil,1,3,4,1,0,0,3,0,0.9,0.9,2.0,02.sept,55,98,105,0.05,0.16,0.21,0.05,0.21,0.05,0.11,0.15,0.05,0.15
