Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Rodrigo Bentancur,uy URU,MF,Juventus,23,1997,33,27,2 324,25.août,0,4,4,0,0,0,8,1,0.6,0.6,02.mars,02.sept,35,173,25,0.00,0.15,0.15,0.00,0.15,0.02,0.09,0.11,0.02,0.11
Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Domenico Berardi,it ITA,FW,Sassuolo,25,1994,30,28,2 475,27.mai,17,7,24,10,7,8,4,0,15.0,08.juil,06.févr,14.sept,101,164,272,0.62,0.25,0.87,0.36,0.62,0.55,0.23,0.77,0.32,0.54
Álex Berenguer,es ESP,MF,Torino,25,1995,2,2,131,01.mai,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,5,6,3,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30
Bartosz Bereszyński,pl POL,DF,Sampdoria,28,1992,31,29,2 607,29.0,1,0,1,1,0,0,2,0,0.2,0.2,0.7,0.8,42,103,81,0.03,0.00,0.03,0.03,0.03,0.01,0.02,0.03,0.01,0.03
Federico Bernardeschi,it ITA,MF DF,Juventus,26,1994,27,8,972,10.août,0,2,2,0,0,0,3,0,01.mars,01.mars,02.août,04.janv,37,39,85,0.00,0.19,0.19,0.00,0.19,0.12,0.26,0.38,0.12,0.38
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Marco Bertini,it ITA,MF,Lazio,17,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniel Bessa,it ITA,MF,Hellas Verona,27,1993,18,4,615,06.août,0,2,2,0,0,0,1,0,1.0,1.0,01.sept,02.sept,19,35,39,0.00,0.29,0.29,0.00,0.29,0.15,0.28,0.43,0.15,0.43
Cristiano Biraghi,it ITA,DF,Fiorentina,27,1992,35,31,2 803,31.janv,1,5,6,1,0,0,8,0,01.sept,01.sept,06.juil,08.juin,91,117,225,0.03,0.16,0.19,0.03,0.19,0.06,0.22,0.28,0.06,0.28
Davide Biraschi,it ITA,DF,Genoa,26,1994,13,11,915,10.févr,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,9,39,20,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Jeremie Boga,ci CIV,FW MF,Sassuolo,23,1997,27,20,1 785,19.août,4,2,6,4,0,0,0,0,03.juin,03.juin,0.9,04.mai,78,43,169,0.20,0.10,0.30,0.20,0.30,0.18,0.05,0.23,0.18,0.23
Giacomo Bonaventura,it ITA,MF,Fiorentina,30,1989,34,27,2 256,25.janv,3,2,5,3,0,0,5,0,02.juil,02.juil,3.0,05.juil,49,93,91,0.12,0.08,0.20,0.12,0.20,0.11,0.12,0.23,0.11,0.23
Federico Bonazzoli,it ITA,FW,Torino,23,1997,20,4,564,06.mars,2,2,4,2,0,0,2,0,01.mars,01.mars,0.7,02.janv,7,15,36,0.32,0.32,0.64,0.32,0.64,0.21,0.12,0.33,0.21,0.33
Federico Bonazzoli,it ITA,FW,Sampdoria,23,1997,2,2,131,01.mai,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.8,5,3,7,0.00,0.69,0.69,0.00,0.69,0.14,0.37,0.52,0.14,0.52
Kevin Bonifazi,it ITA,DF,Udinese,24,1996,30,28,2 469,27.avr,0,0,0,0,0,0,4,0,01.avr,01.avr,0.2,01.juin,15,58,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
Leonardo Bonucci,it ITA,DF,Juventus,33,1987,26,23,2 028,22.mai,2,0,2,2,0,0,4,0,02.mai,02.mai,0.4,3.0,6,89,4,0.09,0.00,0.09,0.09,0.09,0.11,0.02,0.13,0.11,0.13
Mehdi Bourabia,ma MAR,MF,Sassuolo,28,1991,15,4,528,05.sept,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,5,13,5,0.17,0.00,0.17,0.17,0.17,0.09,0.02,0.10,0.09,0.10
Edoardo Bove,it ITA,MF,Roma,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
