Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Olivier Boscagli,fr FRA,DF,Nice,18,1997,1,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gabriel Boschilia,br BRA,FW MF,Monaco,20,1996,11,5,437,04.sept,6,2,8,6,0,0,1,0,janv.24,0.41,janv.65,janv.24,janv.65
Ryad Boudebouz,dz ALG,FW MF,Montpellier,26,1990,33,33,2 921,32.5,11,9,20,8,3,3,4,0,0.34,0.28,0.62,0.25,0.52
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arnold Bouka Moutou,cg CGO,DF,Dijon,27,1988,10,8,755,08.avr,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Farid Boulaya,dz ALG,FW MF,Bastia,23,1993,2,1,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Grégory Bourillon,fr FRA,DF MF,Angers,32,1984,5,4,345,03.août,1,0,1,1,0,0,1,0,0.26,0.00,0.26,0.26,0.26
Martin Braithwaite,dk DEN,FW MF,Toulouse,25,1991,34,33,2 945,32.7,11,3,14,7,4,6,7,0,0.34,0.09,0.43,0.21,0.31
Jimmy Briand,fr FRA,FW MF,Guingamp,30,1985,34,32,2 882,32.0,12,6,18,9,3,3,2,0,0.37,0.19,0.56,0.28,0.47
Patrick Burner,mq MTQ,DF MF,Nice,20,1996,4,3,248,02.août,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alexis Busin,fr FRA,MF,Nancy,20,1995,6,2,243,02.juil,1,0,1,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37
Erick Cabaco,uy URU,DF,Nancy,21,1995,20,18,1 613,17.sept,0,1,1,0,0,0,1,1,0.00,0.06,0.06,0.00,0.06
Rémy Cabella,fr FRA,FW MF,Marseille,26,1990,29,17,1 587,17.juin,2,4,6,2,0,0,4,0,0.11,0.23,0.34,0.11,0.34
Jimmy Cabot,fr FRA,DF FW,Lorient,22,1994,25,11,1 279,14.févr,5,4,9,5,0,0,1,0,0.35,0.28,0.63,0.35,0.63
Jerson Cabral,nl NED,FW,Bastia,25,1991,6,0,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mathieu Cafaro,fr FRA,FW MF,Toulouse,19,1997,4,0,67,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Cafú,pt POR,MF,Lorient,23,1993,18,15,1 183,13.janv,0,2,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15
Yannick Cahuzac,fr FRA,MF,Bastia,31,1985,29,29,2 427,27.0,1,0,1,1,0,0,11,4,0.04,0.00,0.04,0.04,0.04
Lorenzo Callegari,fr FRA,MF,Paris S-G,18,1998,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Souleymane Camara,sn SEN,FW,Montpellier,33,1982,28,10,1 089,12.janv,1,1,2,1,0,0,0,0,0.08,0.08,0.17,0.08,0.17
