Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Abdoulaye Bamba,ci CIV,DF,Angers,27,1990,18,17,1 533,17.0,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,32,70,55,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Jonathan Bamba,ci CIV,FW,Saint-Étienne,21,1996,34,27,2 572,28.juin,7,8,15,3,4,4,1,0,9.0,05.août,08.juil,14.mai,116,109,247,0.24,0.28,0.52,0.10,0.38,0.31,0.30,0.62,0.20,0.51
Yacine Bammou,ma MAR,MF FW,Nantes,25,1991,16,10,725,08.janv,3,0,3,3,0,0,2,1,1.0,1.0,0.2,01.févr,15,18,59,0.37,0.00,0.37,0.37,0.37,0.13,0.03,0.15,0.13,0.15
Sekou Baradji,fr FRA,MF,Amiens,33,1984,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolas Basin,fr FRA,DF,Metz,19,1998,5,3,313,03.mai,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,4,11,9,0.29,0.00,0.29,0.29,0.29,0.03,0.03,0.07,0.03,0.07
Gil Bastião Dias,pt POR,MF,Monaco,20,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35
Paul Baysse,fr FRA,DF,Bordeaux,29,1988,8,6,566,06.mars,0,0,0,0,0,0,0,1,0.6,0.6,0.0,0.6,7,35,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Hervé Bazile,ht HAI,MF FW,Caen,27,1990,19,10,876,09.juil,0,1,1,0,0,0,1,0,01.mars,01.mars,01.janv,02.avr,28,18,110,0.00,0.10,0.10,0.00,0.10,0.14,0.11,0.25,0.14,0.25
Henri Bedimo,cm CMR,DF FW,Marseille,33,1984,3,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
François Bellugou,fr FRA,MF,Troyes,30,1987,30,27,2 177,24.févr,0,0,0,0,0,0,6,1,0.1,0.1,0.2,0.3,10,84,13,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
