Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
César Azpilicueta,es ESP,DF,Chelsea,32,1989,25,16,1 527,17.0,0,0,0,0,0,0,3,0,0.4,0.4,01.janv,01.mai,23,71,81,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
Benoît Badiashile,fr FRA,DF,Chelsea,21,2001,11,10,905,10.janv,1,0,1,1,0,0,2,0,01.févr,01.févr,0.5,01.juin,11,56,2,0.10,0.00,0.10,0.10,0.10,0.12,0.05,0.16,0.12,0.16
Leon Bailey,jm JAM,FW MF,Aston Villa,24,1997,33,26,1 967,21.sept,4,4,8,4,0,0,4,0,05.mars,05.mars,04.août,10.janv,85,28,182,0.18,0.18,0.37,0.18,0.37,0.24,0.22,0.46,0.24,0.46
Stefan Bajcetic,es ESP,MF,Liverpool,17,2004,11,6,526,05.août,1,0,1,1,0,0,2,0,0.8,0.8,0.4,01.févr,10,24,1,0.17,0.00,0.17,0.17,0.17,0.13,0.06,0.20,0.13,0.20
Dominic Ballard,eng ENG,FW MF,Southampton,17,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Patrick Bamford,eng ENG,FW,Leeds United,28,1993,28,18,1 515,16.août,4,2,6,4,0,2,3,0,08.mai,06.sept,1.0,07.sept,17,23,96,0.24,0.12,0.36,0.24,0.36,0.51,0.06,0.56,0.41,0.47
Shandon Baptiste,gd GRN,MF,Brentford,24,1998,23,4,618,06.sept,0,1,1,0,0,0,3,1,0.4,0.4,01.janv,01.avr,8,39,23,0.00,0.15,0.15,0.00,0.15,0.05,0.16,0.21,0.05,0.21
Harvey Barnes,eng ENG,FW MF,Leicester City,24,1997,34,32,2 711,30.janv,13,1,14,13,0,0,3,0,08.sept,08.sept,03.janv,12.0,100,79,257,0.43,0.03,0.46,0.43,0.46,0.30,0.10,0.40,0.30,0.40
Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32,32,2 88,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mads Bech Sørensen,dk DEN,DF MF,Brentford,23,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Jan Bednarek,pl POL,DF,Southampton,26,1996,20,20,1 672,18.juin,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.5,8,45,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Jan Bednarek,pl POL,DF,Aston Villa,26,1996,3,1,100,01.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Donny van de Beek,nl NED,MF,Manchester Utd,25,1997,7,2,167,01.sept,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,20,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11
