Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Moanes Dabbur,il ISR,FW MF,Hoffenheim,29,1992,27,17,1 31,14.juin,3,4,7,3,0,0,5,0,04.mai,04.mai,02.avr,06.sept,11,51,96,0.21,0.27,0.48,0.21,0.48,0.31,0.16,0.47,0.31,0.47
Finn Dahmen,de GER,GK,Mainz 05,23,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mahmoud Dahoud,de GER,MF,Dortmund,25,1996,22,20,1 658,18.avr,2,3,5,2,0,0,7,1,01.févr,01.févr,3.0,04.mars,28,116,46,0.11,0.16,0.27,0.11,0.27,0.07,0.16,0.23,0.07,0.23
Márton Dárdai,hu HUN,DF,Hertha BSC,19,2002,12,9,755,08.avr,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.3,7,19,2,0.00,0.12,0.12,0.00,0.12,0.01,0.02,0.03,0.01,0.03
Vladimír Darida,cz CZE,MF,Hertha BSC,30,1990,25,23,1 786,19.août,2,5,7,2,0,0,6,0,01.sept,01.sept,03.avr,05.févr,15,88,69,0.10,0.25,0.35,0.10,0.35,0.09,0.17,0.26,0.09,0.26
Alphonso Davies,ca CAN,DF,Bayern Munich,20,2000,22,20,1 74,19.mars,0,3,3,0,0,0,3,0,01.mars,01.mars,04.janv,05.avr,113,98,201,0.00,0.16,0.16,0.00,0.16,0.07,0.21,0.28,0.07,0.28
Saulo Decarli,ch SUI,DF,Bochum,29,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29
Thomas Delaney,dk DEN,MF,Dortmund,29,1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Kerem Demirbay,de GER,MF,Leverkusen,28,1993,29,23,2 049,22.août,1,4,5,0,1,2,10,0,03.mars,01.août,03.août,05.juin,34,142,47,0.04,0.18,0.22,0.00,0.18,0.15,0.17,0.31,0.08,0.24
