Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer
,19,Colombia,Centre-Forward,6000000,Chicago Fire FC,29500000.0,premier_league_2022.csv,Premier League,,Jhon Durán
,30,Portugal,Attacking Midfield,20000000,FC Barcelona,20000000.0,premier_league_2022.csv,Premier League,,Philippe Coutinho
,20,Burkina Faso,Left Winger,10000000,FC Lorient,22500000.0,premier_league_2022.csv,Premier League,,Dango Ouattara
,23,England,Left Midfield,4500000,Middlesbrough FC,11900000.0,premier_league_2022.csv,Premier League,,Marcus Tavernier
,23,England,Right Winger,3000000,Bristol City,10250000.0,premier_league_2022.csv,Premier League,,Antoine Semenyo
,21,England,Left Midfield,12000000,Hull City,19000000.0,premier_league_2022.csv,Premier League,,Keane Lewis-Potter
,22,Denmark,Attacking Midfield,15000000,UC Sampdoria,15000000.0,premier_league_2022.csv,Premier League,,Mikkel Damsgaard
,18,Paraguay,Attacking Midfield,11000000,Club Libertad Asunción,11600000.0,premier_league_2022.csv,Premier League,,Julio Enciso
,18,Italy,Attacking Midfield,9000000,CA Rosario Central,6000000.0,premier_league_2022.csv,Premier League,,Facundo Buonanotte
,22,Argentina,Central Midfield,55000000,SL Benfica,121000000.0,premier_league_2022.csv,Premier League,,Enzo Fernández
,22,Ukraine,Left Winger,40000000,Shakhtar Donetsk,70000000.0,premier_league_2022.csv,Premier League,,Mykhaylo Mudryk
,27,Jamaica,Right Winger,70000000,Manchester City,56200000.0,premier_league_2022.csv,Premier League,,Raheem Sterling
,20,Nigeria,Right Winger,15000000,PSV Eindhoven,35000000.0,premier_league_2022.csv,Premier League,,Noni Madueke
,18,Nigeria,Central Midfield,6000000,Aston Villa,18000000.0,premier_league_2022.csv,Premier League,,Carney Chukwuemeka
,19,Italy,Central Midfield,1000000,Inter Milan,14860000.0,premier_league_2022.csv,Premier League,,Cesare Casadei
,18,Brazil,Central Midfield,10000000,Clube de Regatas Vasco da Gama,12500000.0,premier_league_2022.csv,Premier League,,Andrey Santos
,33,France,Centre-Forward,15000000,FC Barcelona,12000000.0,premier_league_2022.csv,Premier League,,Pierre-Emerick Aubameyang
,20,Cote d'Ivoire,Centre-Forward,7000000,Molde FK,12000000.0,premier_league_2022.csv,Premier League,,David Datro Fofana
,20,Comoros,Central Midfield,5500000,VfB Stuttgart,12000000.0,premier_league_2022.csv,Premier League,,Naouirou Ahamada
,22,Jamaica,Left Winger,18000000,Burnley FC,17000000.0,premier_league_2022.csv,Premier League,,Dwight McNeil
,26,Argentina,Centre-Forward,18000000,Brighton & Hove Albion,11800000.0,premier_league_2022.csv,Premier League,,Neal Maupay
,26,Serbia,Central Midfield,13000000,Torino FC,9800000.0,premier_league_2022.csv,Premier League,,Saša Lukić
,26,Belgium,Attacking Midfield,7500000,Manchester United,9500000.0,premier_league_2022.csv,Premier League,,Andreas Pereira
,20,Martinique,Centre-Forward,16000000,TSG 1899 Hoffenheim,40500000.0,premier_league_2022.csv,Premier League,,Georginio Rutter
,21,United States,Attacking Midfield,25000000,Red Bull Salzburg,32840000.0,premier_league_2022.csv,Premier League,,Brenden Aaronson
,23,Colombia,Left Winger,25000000,Feyenoord Rotterdam,25000000.0,premier_league_2022.csv,Premier League,,Luis Sinisterra
,23,Uruguay,Centre-Forward,55000000,SL Benfica,85000000.0,premier_league_2022.csv,Premier League,,Darwin Núñez
,23,Togo,Left Winger,60000000,PSV Eindhoven,42000000.0,premier_league_2022.csv,Premier League,,Cody Gakpo
,19,England,Attacking Midfield,12000000,Fulham FC,9400000.0,premier_league_2022.csv,Premier League,,Fábio Carvalho
,21,Norway,Centre-Forward,150000000,Borussia Dortmund,60000000.0,premier_league_2022.csv,Premier League,,Erling Haaland
,22,Brazil,Right Winger,35000000,Ajax Amsterdam,95000000.0,premier_league_2022.csv,Premier League,,Antony
,22,Eritrea,Centre-Forward,30000000,Real Sociedad,77500000.0,premier_league_2022.csv,Premier League,,Alexander Isak
,21,England,Left Winger,40000000,Everton FC,45600000.0,premier_league_2022.csv,Premier League,,Anthony Gordon
,22,Jamaica,Attacking Midfield,11000000,Wolverhampton Wanderers,29500000.0,premier_league_2022.csv,Premier League,,Morgan Gibbs-White
,24,Nigeria,Centre-Forward,20000000,1.FC Union Berlin,20500000.0,premier_league_2022.csv,Premier League,,Taiwo Awoniyi
,24,Nigeria,Centre-Forward,14000000,Watford FC,14800000.0,premier_league_2022.csv,Premier League,,Emmanuel Dennis
,23,England,Central Midfield,3500000,Huddersfield Town,9400000.0,premier_league_2022.csv,Premier League,,Lewis O'Brien
,20,Ghana,Left Winger,18000000,Stade Rennais FC,25000000.0,premier_league_2022.csv,Premier League,,Kamaldeen Sulemana
,28,Nigeria,Centre-Forward,15000000,KRC Genk,18000000.0,premier_league_2022.csv,Premier League,,Paul Onuachu
,20,Argentina,Central Midfield,8500000,Racing Club,13650000.0,premier_league_2022.csv,Premier League,,Carlos Alcaraz
,19,Senegal,Centre-Forward,3000000,FC Girondins Bordeaux,11500000.0,premier_league_2022.csv,Premier League,,Sékou Mara
,25,England,Central Midfield,10000000,Rangers FC,8200000.0,premier_league_2022.csv,Premier League,,Joe Aribo
,19,Nigeria,Left Winger,800000,Manchester City U21,8000000.0,premier_league_2022.csv,Premier League,,Samuel Edozie
,30,Croatia,Left Winger,10000000,GNK Dinamo Zagreb,5750000.0,premier_league_2022.csv,Premier League,,Mislav Orsic
,25,Brazil,Centre-Forward,48000000,Everton FC,58000000.0,premier_league_2022.csv,Premier League,,Richarlison
