Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer
Borja Mayoral,25,Spain,Centre-Forward,9000000,real Madrid,10000000.0,La_Liga_2022.csv,La Liga,,
Jørgen Strand Larsen,22,Norway,Centre-Forward,6000000,FC Groningen,15040000.0,La_Liga_2022.csv,La Liga,,
Vedat Muriqi,28,Kosovo,Centre-Forward,7000000,Lazio,8020000.0,La_Liga_2022.csv,La Liga,,
El Bilal Touré,20,Mali,Centre-Forward,6500000,Stade Reims,8000000.0,La_Liga_2022.csv,La Liga,,
André Almeida,22,Portugal,Attacking Midfield,5000000,Vit. Guimarães,8000000.0,La_Liga_2022.csv,La Liga,,
Pablo Torre,19,Spain,Attacking Midfield,3000000,Racing,6000000.0,La_Liga_2022.csv,La Liga,,
Jesper Lindstrøm,23,Denmark,Right Winger,28000000,Frankfurt,30000000.0,Serie_A_2023.csv,Serie A,,
Giacomo Raspadori,23,Italy,Second Striker,35000000,Sassuolo,28000000.0,Serie_A_2023.csv,Serie A,,
El Bilal Touré,21,Mali,Centre-Forward,12000000,UD Almería,30200000.0,Serie_A_2023.csv,Serie A,,
Gianluca Scamacca,24,Italy,Centre-Forward,22000000,West Ham,28000000.0,Serie_A_2023.csv,Serie A,,
Moise Kean,23,Italy,Centre-Forward,18000000,Everton,30000000.0,Serie_A_2023.csv,Serie A,,
Tijjani Reijnders,24,Netherlands,Central Midfield,14000000,AZ Alkmaar,24800000.0,Serie_A_2023.csv,Serie A,,
Yunus Musah,20,USA,Central Midfield,18000000,Valencia,21200000.0,Serie_A_2023.csv,Serie A,,
Samuel Chukwueze,24,Nigeria,Right Winger,25000000,Villarreal,21100000.0,Serie_A_2023.csv,Serie A,,
Christian Pulisic,24,USA,Right Winger,25000000,Chelsea,20800000.0,Serie_A_2023.csv,Serie A,,
Cyril Ngonge,23,Belgium,Right Winger,6000000,Hellas Verona,20000000.0,Serie_A_2023.csv,Serie A,,
Andrea Pinamonti,24,Italy,Centre-Forward,15000000,Inter,20000000.0,Serie_A_2023.csv,Serie A,,
Ruben Loftus-Cheek,27,England,Central Midfield,25000000,Chelsea,18900000.0,Serie_A_2023.csv,Serie A,,
Dan Ndoye,22,Switzerland,Right Winger,3500000,Basel,16450000.0,Serie_A_2023.csv,Serie A,,
Mateo Retegui,24,Italy,Centre-Forward,16000000,Tigre,15250000.0,Serie_A_2023.csv,Serie A,,
Taty Castellanos,24,Argentina,Centre-Forward,15000000,New York City,15000000.0,Serie_A_2023.csv,Serie A,,
Noah Okafor,23,Switzerland,Left Winger,20000000,Salzburg,15500000.0,Serie_A_2023.csv,Serie A,,
Ivan Ilić,22,Serbia,Central Midfield,19000000,Hellas Verona,16500000.0,Serie_A_2023.csv,Serie A,,
Boulaye Dia,26,Senegal,Centre-Forward,25000000,Villarreal,14400000.0,Serie_A_2023.csv,Serie A,,
Gustav Isaksen,22,Denmark,Right Winger,7500000,Midtjylland,13400000.0,Serie_A_2023.csv,Serie A,,
Santiago Castro,19,Argentina,Centre-Forward,7000000,Vélez Sarsfield,13200000.0,Serie_A_2023.csv,Serie A,,
Lucas Beltrán,22,Argentina,Attacking Midfield,12000000,River Plate,12600000.0,Serie_A_2023.csv,Serie A,,
M'Bala Nzola,26,Angola,Centre-Forward,8000000,Spezia Calcio,12600000.0,Serie_A_2023.csv,Serie A,,
Giovanni Simeone,27,Argentina,Centre-Forward,15000000,Hellas Verona,12000000.0,Serie_A_2023.csv,Serie A,,
Matteo Pessina,26,Italy,Central Midfield,15000000,Atalanta,12000000.0,Serie_A_2023.csv,Serie A,,
Tommaso Baldanzi,20,Italy,Attacking Midfield,15000000,FC Empoli,11500000.0,Serie_A_2023.csv,Serie A,,
Jesper Karlsson,25,Sweden,Left Winger,18000000,AZ Alkmaar,11150000.0,Serie_A_2023.csv,Serie A,,
Timothy Weah,23,USA,Right Winger,14000000,Lille,11000000.0,Serie_A_2023.csv,Serie A,,
Nikola Vlašić,25,Croatia,Attacking Midfield,17000000,West Ham,10600000.0,Serie_A_2023.csv,Serie A,,
Brenner,23,Brazil,Centre-Forward,8000000,Cincinnati,10000000.0,Serie_A_2023.csv,Serie A,,
Andrea Petagna,28,Italy,Centre-Forward,10000000,Napoli,9700000.0,Serie_A_2023.csv,Serie A,,
Mitchel Bakker,23,Netherlands,Left Midfield,9000000,Leverkusen,8800000.0,Serie_A_2023.csv,Serie A,,
Matteo Cancellieri,21,Italy,Right Winger,5000000,Hellas Verona,8500000.0,Serie_A_2023.csv,Serie A,,
Nikola Krstović,23,Montenegro,Centre-Forward,2200000,Dunajska Streda,8150000.0,Serie_A_2023.csv,Serie A,,
Gianluca Caprari,29,Italy,Second Striker,8000000,Hellas Verona,8000000.0,Serie_A_2023.csv,Serie A,,
Ruslan Malinovskyi,30,Ukraine,Attacking Midfield,10000000,Marseille,7700000.0,Serie_A_2023.csv,Serie A,,
Cristian Volpato,19,Italy,Attacking Midfield,3000000,Roma,7500000.0,Serie_A_2023.csv,Serie A,,
Tajon Buchanan,24,Canada,Right Winger,8000000,Club Brugge,7000000.0,Serie_A_2023.csv,Serie A,,
Victor Osimhen,21,Nigeria,Centre-Forward,40000000,Lille,78900000.0,Serie_A_2020.csv,Serie A,,
Vedat Muriqi,26,Kosovo,Centre-Forward,12000000,Fenerbahçe,21000000.0,Serie_A_2020.csv,Serie A,,
Nicolò Barella,23,Italy,Central Midfield,50000000,Cagliari,32500000.0,Serie_A_2020.csv,Serie A,,
Stefano Sensi,25,Italy,Central Midfield,20000000,Sassuolo,25000000.0,Serie_A_2020.csv,Serie A,,
Christian Kouamé,22,Ivory Coast,Centre-Forward,17500000,Genoa,15500000.0,Serie_A_2020.csv,Serie A,,
Alfred Duncan,27,Ghana,Central Midfield,15000000,Sassuolo,15000000.0,Serie_A_2020.csv,Serie A,,
Marko Rog,25,Croatia,Central Midfield,13000000,Napoli,15000000.0,Serie_A_2020.csv,Serie A,,
Giovanni Simeone,25,Argentina,Centre-Forward,15000000,Fiorentina,13000000.0,Serie_A_2020.csv,Serie A,,
Grégoire Defrel,29,France,Centre-Forward,8000000,Roma,11000000.0,Serie_A_2020.csv,Serie A,,
Mikkel Damsgaard,20,Denmark,Attacking Midfield,6500000,Nordsjælland,6750000.0,Serie_A_2020.csv,Serie A,,
Hernani,26,Brazil,Central Midfield,5500000,Zenit,6470000.0,Serie_A_2020.csv,Serie A,,
Simon Sohm,19,Switzerland,Central Midfield,1100000,FC Zurich,6400000.0,Serie_A_2020.csv,Serie A,,
Federico Bernardeschi,23,Italy,Right Winger,30000000,Fiorentina,40000000.0,Serie_A_2017.csv,Serie A,,
André Silva,21,Portugal,Centre-Forward,22000000,Porto,38000000.0,Serie_A_2017.csv,Serie A,,
Hakan Çalhanoğlu,23,Turkey,Attacking Midfield,20000000,Leverkusen,23300000.0,Serie_A_2017.csv,Serie A,,
Matías Vecino,25,Uruguay,Central Midfield,13000000,Fiorentina,24000000.0,Serie_A_2017.csv,Serie A,,
Blaise Matuidi,30,France,Central Midfield,30000000,PSG,25000000.0,Serie_A_2017.csv,Serie A,,
Rodrigo Bentancur,20,Uruguay,Central Midfield,6000000,Boca Juniors,23500000.0,Serie_A_2017.csv,Serie A,,
Roberto Gagliardini,23,Italy,Central Midfield,15000000,Atalanta,20500000.0,Serie_A_2017.csv,Serie A,,
Juan Cuadrado,29,Colombia,Right Midfield,25000000,Chelsea,20000000.0,Serie_A_2017.csv,Serie A,,
Cengiz Ünder,20,Turkey,Right Winger,5000000,Basaksehir,14250000.0,Serie_A_2017.csv,Serie A,,
Marco Benassi,22,Italy,Central Midfield,9500000,Torino,12000000.0,Serie_A_2017.csv,Serie A,,
Lorenzo Pellegrini,21,Italy,Attacking Midfield,12000000,Sassuolo,10000000.0,Serie_A_2017.csv,Serie A,,
Leonardo Pavoletti,28,Italy,Centre-Forward,11000000,Napoli,9800000.0,Serie_A_2017.csv,Serie A,,
Marko Rog,21,Croatia,Central Midfield,10000000,Dinamo Zagreb,13500000.0,Serie_A_2017.csv,Serie A,,
Roberto Inglese,25,Italy,Centre-Forward,4500000,Chievo Verona,12000000.0,Serie_A_2017.csv,Serie A,,
Adam Ounas,20,Algeria,Right Winger,4000000,G. Bordeaux,12000000.0,Serie_A_2017.csv,Serie A,,
Davide Frattesi,17,Italy,Central Midfield,200000,Roma,14600000.0,Serie_A_2017.csv,Serie A,,
Gianluca Caprari,23,Italy,Second Striker,6000000,Inter,15000000.0,Serie_A_2017.csv,Serie A,,
Gastón Ramírez,26,Uruguay,Central Midfield,6000000,Middlesbrough,6300000.0,Serie_A_2017.csv,Serie A,,
Bruno Fernandes,22,Portugal,Attacking Midfield,7500000,Udinese,6000000.0,Serie_A_2017.csv,Serie A,,
Riad Bajić,23,Bosnia-Herzegovina,Centre-Forward,5000000,Konyaspor,5500000.0,Serie_A_2017.csv,Serie A,,
Josip Iličić,29,Slovenia,Attacking Midfield,10000000,Fiorentina,6400000.0,Serie_A_2017.csv,Serie A,,
Dušan Vlahović,22,Serbia,Centre-Forward,70000000,Fiorentina,83500000.0,Serie_A_2021.csv,Serie A,,
Tammy Abraham,23,England,Centre-Forward,38000000,Chelsea,41000000.0,Serie_A_2021.csv,Serie A,,
Nico González,23,Argentina,Left Winger,22000000,Stuttgart,27370000.0,Serie_A_2021.csv,Serie A,,
Weston McKennie,22,USA,Central Midfield,25000000,FC Schalke 04,21900000.0,Serie_A_2021.csv,Serie A,,
Eldor Shomurodov,26,Uzbekistan,Centre-Forward,7000000,Genoa,19600000.0,Serie_A_2021.csv,Serie A,,
Arthur Cabral,23,Brazil,Centre-Forward,15000000,Basel,15500000.0,Serie_A_2021.csv,Serie A,,
Jonathan Ikoné,23,France,Right Winger,22000000,Lille,15400000.0,Serie_A_2021.csv,Serie A,,
Musa Barrow,22,Gambia,Left Winger,20000000,Atalanta,14340000.0,Serie_A_2021.csv,Serie A,,
Teun Koopmeiners,23,Netherlands,Attacking Midfield,16500000,AZ Alkmaar,14000000.0,Serie_A_2021.csv,Serie A,,
Yacine Adli,21,France,Attacking Midfield,9000000,G. Bordeaux,9000000.0,Serie_A_2021.csv,Serie A,,
Hamed Traoré,21,Ivory Coast,Left Winger,20000000,FC Empoli,16000000.0,Serie_A_2021.csv,Serie A,,
Ivan Ilić,20,Serbia,Central Midfield,8000000,Man City U23,7500000.0,Serie_A_2021.csv,Serie A,,
Toma Bašić,24,Croatia,Central Midfield,9000000,G. Bordeaux,7100000.0,Serie_A_2021.csv,Serie A,,
Kaio Jorge,19,Brazil,Centre-Forward,12000000,Santos,7000000.0,Serie_A_2021.csv,Serie A,,
Kelvin Yeboah,21,Italy,Centre-Forward,4000000,Sturm Graz,6500000.0,Serie_A_2021.csv,Serie A,,
Kevin Lasagna,28,Italy,Centre-Forward,6000000,Udinese,6500000.0,Serie_A_2021.csv,Serie A,,
Éderson,22,Brazil,Central Midfield,5000000,Corinthians,6500000.0,Serie_A_2021.csv,Serie A,,
Marko Arnautović,32,Austria,Centre-Forward,10000000,SH Port,6000000.0,Serie_A_2021.csv,Serie A,,
Gianluca Busio,19,USA,Centre-Forward,6000000,Kansas City,6000000.0,Serie_A_2021.csv,Serie A,,
Antonín Barák,26,Czech Republic,Attacking Midfield,14000000,Udinese,6000000.0,Serie_A_2021.csv,Serie A,,
Thomas Henry,26,France,Centre-Forward,5000000,OH Leuven,5500000.0,Serie_A_2021.csv,Serie A,,
Ernesto Torregrossa,29,Italy,Centre-Forward,5500000,Brescia,5500000.0,Serie_A_2021.csv,Serie A,,
Antonino La Gumina,25,Italy,Centre-Forward,2000000,FC Empoli,5500000.0,Serie_A_2021.csv,Serie A,,
Álvaro Morata,24,Spain,Centre-Forward,40000000,Real Madrid,66000000.0,premier_league_2017.csv,Premier League,,
Danny Drinkwater,27,England,Central Midfield,9000000,Leicester,37900000.0,premier_league_2017.csv,Premier League,,
Olivier Giroud,31,France,Centre-Forward,20000000,Arsenal,17000000.0,premier_league_2017.csv,Premier League,,
Ross Barkley,24,England,Central Midfield,25000000,Everton,16800000.0,premier_league_2017.csv,Premier League,,
Fernando Llorente,32,Spain,Centre-Forward,6000000,Swansea,15100000.0,premier_league_2017.csv,Premier League,,
Bernardo Silva,22,Portugal,Attacking Midfield,40000000,Monaco,50000000.0,premier_league_2017.csv,Premier League,,
Alex Oxlade-Chamberlain,24,England,Central Midfield,22000000,Arsenal,38000000.0,premier_league_2017.csv,Premier League,,
Pierre-Emerick Aubameyang,28,Gabon,Centre-Forward,65000000,Dortmund,63750000.0,premier_league_2017.csv,Premier League,,
Alexandre Lacazette,26,France,Centre-Forward,40000000,Lyon,53000000.0,premier_league_2017.csv,Premier League,,
Henrikh Mkhitaryan,29,Armenia,Central Midfield,35000000,Man Utd,34000000.0,premier_league_2017.csv,Premier League,,
Romelu Lukaku,24,Belgium,Centre-Forward,50000000,Everton,84700000.0,premier_league_2017.csv,Premier League,,
Alexis Sánchez,29,Chile,Centre-Forward,70000000,Arsenal,34000000.0,premier_league_2017.csv,Premier League,,
Gylfi Sigurdsson,27,Iceland,Attacking Midfield,25000000,Swansea,49400000.0,premier_league_2017.csv,Premier League,,
Cenk Tosun,26,Turkey,Centre-Forward,10500000,Beşiktaş,22500000.0,premier_league_2017.csv,Premier League,,
Nikola Vlašić,19,Croatia,Attacking Midfield,4000000,Hajduk Split,10800000.0,premier_league_2017.csv,Premier League,,
Sandro Ramírez,21,Spain,Centre-Forward,10000000,Málaga CF,6000000.0,premier_league_2017.csv,Premier League,,
Guido Carrillo,26,Argentina,Centre-Forward,6000000,Monaco,22000000.0,premier_league_2017.csv,Premier League,,
Oliver Burke,20,Scotland,Centre-Forward,7000000,Leipzig,15200000.0,premier_league_2017.csv,Premier League,,
Jay Rodriguez,27,England,Centre-Forward,10000000,Southampton,13700000.0,premier_league_2017.csv,Premier League,,
Yuning Zhang,20,China,Centre-Forward,700000, Vitesse,7200000.0,premier_league_2017.csv,Premier League,,
Marko Arnautović,28,Austria,Centre-Forward,15000000,Stoke City,22300000.0,premier_league_2017.csv,Premier League,,
Chicharito,29,Mexico,Centre-Forward,18000000,Leverkusen,17800000.0,premier_league_2017.csv,Premier League,,
Jordan Hugill,25,England,Centre-Forward,3000000,Preston,10200000.0,premier_league_2017.csv,Premier League,,
Kelechi Iheanacho,20,Nigeria,Centre-Forward,15000000,Man City,27700000.0,premier_league_2017.csv,Premier League,,
Adrien Silva,28,Portugal,Central Midfield,25000000,Sporting,20500000.0,premier_league_2017.csv,Premier League,,
Alexander Sørloth,22,Norway,Centre-Forward,2000000,Central Jutland,16000000.0,premier_league_2017.csv,Premier League,,
André Ayew,28,Ghana,Centre-Forward,18000000,West Ham,22800000.0,premier_league_2017.csv,Premier League,,
Sam Clucas,26,England,Central Midfield,2500000,Hull City,16300000.0,premier_league_2017.csv,Premier League,,
Wilfried Bony,28,Ivory Coast,Centre-Forward,18000000,Man City,13000000.0,premier_league_2017.csv,Premier League,,
Roque Mesa,28,Spain,Central Midfield,12000000,UD Las Palmas,12500000.0,premier_league_2017.csv,Premier League,,
Chris Wood,25,New Zealand,Centre-Forward,6000000,Leeds,16400000.0,premier_league_2017.csv,Premier League,,
Nahki Wells,27,Bermuda,Centre-Forward,5000000,Huddersfield,5400000.0,premier_league_2017.csv,Premier League,,
Andre Gray,26,England,Centre-Forward,10000000,Burnley,20400000.0,premier_league_2017.csv,Premier League,,
Richarlison,20,Brazil,Centre-Forward,2000000,Fluminense,12400000.0,premier_league_2017.csv,Premier League,,
Tom Cleverley,27,England,Central Midfield,8000000,Everton,9300000.0,premier_league_2017.csv,Premier League,,
Will Hughes,22,England,Central Midfield,8000000,Derby,9100000.0,premier_league_2017.csv,Premier League,,
Joselu,27,Spain,Centre-Forward,3500000,Stoke City,5500000.0,premier_league_2017.csv,Premier League,,
Jürgen Locadia,24,Netherlands,Centre-Forward,8500000,PSV,17000000.0,premier_league_2017.csv,Premier League,,
Davy Pröpper,25,Netherlands,Central Midfield,10000000,PSV,13000000.0,premier_league_2017.csv,Premier League,,
Steve Mounié,22,Benin,Centre-Forward,5500000,Montpellier,13000000.0,premier_league_2017.csv,Premier League,,
Alex Pritchard,24,England,Attacking Midfield,5000000,Norwich,12350000.0,premier_league_2017.csv,Premier League,,
Nicolas de Préville,26,France,Centre-Forward,5500000,LOSC Lille,8000000.0,Ligue_1_2017.csv,Ligue 1,,
Jonathan Cafu,26,Brazil,Right Winger,10000000,Ludogorets Razgrad,7500000.0,Ligue_1_2017.csv,Ligue 1,,
Adam Ounas,20,Algeria,Right Winger,4000000,SSC Napoli,12000000.0,Ligue_1_2017.csv,Ligue 1,,
Nicolas Pépé,22,Cote d'Ivoire,Right Winger,3000000,Angers SCO,18000000.0,Ligue_1_2017.csv,Ligue 1,,
Luiz Araújo,21,Brazil,Right Winger,500000,São Paulo,10500000.0,Ligue_1_2017.csv,Ligue 1,,
Xeka,22,Portugal,Central Midfield,1250000,SC Braga,5000000.0,Ligue_1_2017.csv,Ligue 1,,
Martin Terrier,20,France,Left Winger,12000000,LOSC Lille,11000000.0,Ligue_1_2017.csv,Ligue 1,,
Bertrand Traoré,21,Burkina Faso,Right Winger,8000000,Chelsea,10000000.0,Ligue_1_2017.csv,Ligue 1,,
Pape Cheikh,20,Senegal,Central Midfield,800000,Celta de Vigo,10000000.0,Ligue_1_2017.csv,Ligue 1,,
Mariano Diaz,23,Dominican Republic,Centre-Forward,5000000,Real Madrid,8000000.0,Ligue_1_2017.csv,Ligue 1,,
Konstantinos Mitroglou,29,Greece,Centre-Forward,12000000,SL Benfica,15000000.0,Ligue_1_2017.csv,Ligue 1,,
Florian Thauvin,24,France,Second Striker,18000000,Newcastle United,11000000.0,Ligue_1_2017.csv,Ligue 1,,
Valère Germain,27,France,Centre-Forward,10000000,AS Monaco,8000000.0,Ligue_1_2017.csv,Ligue 1,,
Clinton N'Jie,23,Cameroon,Right Winger,7000000,Tottenham Hotspur,7000000.0,Ligue_1_2017.csv,Ligue 1,,
Keita Baldé,22,Senegal,Left Winger,25000000,SS Lazio,30000000.0,Ligue_1_2017.csv,Ligue 1,,
Youri Tielemans,20,Belgium,Central Midfield,22000000,RSC Anderlecht,25000000.0,Ligue_1_2017.csv,Ligue 1,,
Pietro Pellegri,16,Italy,Centre-Forward,8000000,Genoa,20900000.0,Ligue_1_2017.csv,Ligue 1,,
Stevan Jovetić,27,Montenegro,Second Striker,10000000,Inter Milan,10500000.0,Ligue_1_2017.csv,Ligue 1,,
Adama Diakhaby,21,France,Attacking Midfield,1500000,Stade Rennais FC,10000000.0,Ligue_1_2017.csv,Ligue 1,,
Allan Saint-Maximin,20,France,Left Winger,3000000,AS Monaco,10000000.0,Ligue_1_2017.csv,Ligue 1,,
Jean-Victor Makengo,19,France,Central Midfield,900000,SM Caen,6000000.0,Ligue_1_2017.csv,Ligue 1,,
Neymar,25,Brazil,Attacking Midfield,100000000,FC Barcelona,222000000.0,Ligue_1_2017.csv,Ligue 1,,
Ismaïla Sarr,19,Senegal,Right Winger,2500000,FC Metz,17000000.0,Ligue_1_2017.csv,Ligue 1,,
Rafik Guitane,18,Algeria,Right Winger,150000,Le Havre AC,8000000.0,Ligue_1_2017.csv,Ligue 1,,
Diafra Sakho,28,Senegal,Centre-Forward,8000000,West Ham United,5000000.0,Ligue_1_2017.csv,Ligue 1,,
Loïs Diony,24,France,Centre-Forward,3000000,Dijon FCO,10000000.0,Ligue_1_2017.csv,Ligue 1,,
Sadio Mané,30,Senegal,Left Winger,70000000,Liverpool,32000000.0,Bundesliga_2022.csv,Bundesliga,Bayern Munich,
Mathys Tel,17,France,Centre-Forward,2000000,Stade Rennais,20000000.0,Bundesliga_2022.csv,Bundesliga,Bayern Munich,
Sébastien Haller,28,Ivory Coast,Centre-Forward,35000000,Ajax,31000000.0,Bundesliga_2022.csv,Bundesliga,Borussia Dortmund,
Karim Adeyemi,20,Germany,Right Winger,35000000,Red Bull Salzburg,30000000.0,Bundesliga_2022.csv,Bundesliga,Borussia Dortmund,
Timo Werner,26,Germany,Left Winger,35000000,Chelsea,20000000.0,Bundesliga_2022.csv,Bundesliga,RB Leipzig,
Adam Hložek,19,Czech Republic,Second Striker,20000000,Sparta Prague,13000000.0,Bundesliga_2022.csv,Bundesliga,Bayer Leverkusen,
Ritsu Dōan,24,Japan,Right Winger,8000000,PSV Eindhoven,10400000.0,Bundesliga_2022.csv,Bundesliga,SC Freiburg,
Jakub Kamiński,20,Poland,Left Winger,10000000,Lech Poznań,10000000.0,Bundesliga_2022.csv,Bundesliga,VfL Wolfsburg,
Mattias Svanberg,23,Sweden,Central Midfield,15000000,Bologna,9500000.0,Bundesliga_2022.csv,Bundesliga,VfL Wolfsburg,
Nathan Ngoumou,22,France,Right Winger,2500000,Toulouse,8000000.0,Bundesliga_2022.csv,Bundesliga,Borussia Mönchengladbach,
Jens Petter Hauge,22,Norway,Left Winger,8000000,AC Milan,8200000.0,Bundesliga_2022.csv,Bundesliga,Eintracht Frankfurt,
Lucas Alario,29,Argentina,Centre-Forward,8000000,Bayer Leverkusen,6000000.0,Bundesliga_2022.csv,Bundesliga,Eintracht Frankfurt,
Cristiano Ronaldo,33,Portugal,Centre-Forward,100000000,Real Madrid,117000000.0,Serie_A_2018.csv,Serie A,,
Patrik Schick,22,Czech Republic,Centre-Forward,20000000,Sampdoria,42000000.0,Serie_A_2018.csv,Serie A,,
Lucas Paquetá,21,Brazil,Attacking Midfield,15000000,Flamengo,38400000.0,Serie_A_2018.csv,Serie A,,
Radja Nainggolan,30,Belgium,Central Midfield,45000000,Roma,38000000.0,Serie_A_2018.csv,Serie A,,
Lautaro Martínez,20,Argentina,Centre-Forward,25000000,Racing Club,25000000.0,Serie_A_2018.csv,Serie A,,
Javier Pastore,29,Argentina,Attacking Midfield,15000000,PSG,24700000.0,Serie_A_2018.csv,Serie A,,
Simone Verdi,25,Italy,Attacking Midfield,25000000,Bologna,24500000.0,Serie_A_2018.csv,Serie A,,
Justin Kluivert,19,Netherlands,Attacking Midfield,15000000,Ajax,17250000.0,Serie_A_2018.csv,Serie A,,
Joaquín Correa,23,Argentina,Second Striker,10000000,Sevilla FC,17850000.0,Serie_A_2018.csv,Serie A,,
Grégoire Defrel,27,France,Centre-Forward,10000000,Sassuolo,15000000.0,Serie_A_2018.csv,Serie A,,
M'Baye Niang,23,France,Centre-Forward,10000000,AC Milan,12000000.0,Serie_A_2018.csv,Serie A,,
Manolo Gabbiadini,27,Italy,Centre-Forward,10000000,Southampton,11900000.0,Serie_A_2018.csv,Serie A,,
Gianluca Lapadula,28,Italy,Centre-Forward,7000000,AC Milan,11000000.0,Serie_A_2018.csv,Serie A,,
Christian Kouamé,20,Ivory Coast,Centre-Forward,2800000,Cittadella,6350000.0,Serie_A_2018.csv,Serie A,,
Juraj Kucka,31,Slovakia,Central Midfield,2500000,Trabzonspor,6400000.0,Serie_A_2018.csv,Serie A,,
Federico Santander,27,Paraguay,Centre-Forward,2000000,Copenhagen,6500000.0,Serie_A_2018.csv,Serie A,,
Diego Falcinelli,27,Italy,Centre-Forward,3800000,Sassuolo,7000000.0,Serie_A_2018.csv,Serie A,,
Lukasz Teodorczyk,27,Poland,Centre-Forward,7500000,RSC Anderlecht,7000000.0,Serie_A_2018.csv,Serie A,,
Ignacio Pussetto,22,Argentina,Centre-Forward,7000000,Huracán,8000000.0,Serie_A_2018.csv,Serie A,,
Andrea Favilli,21,Italy,Centre-Forward,4000000,Ascoli,7500000.0,Serie_A_2018.csv,Serie A,,
Ronaldo Vieira,20,England,Central Midfield,5000000,Leeds,7350000.0,Serie_A_2018.csv,Serie A,,
Valon Berisha,25,Kosovo,Left Midfield,10000000,Salzburg,7600000.0,Serie_A_2018.csv,Serie A,,
Khouma Babacar,25,Senegal,Centre-Forward,8000000,Fiorentina,7000000.0,Serie_A_2018.csv,Serie A,,
Lucas Castro,29,Argentina,Attacking Midfield,7000000,Chievo Verona,5900000.0,Serie_A_2018.csv,Serie A,,
Jens Odgaard,19,Denmark,Attacking Midfield,800000,Inter,5820000.0,Serie_A_2018.csv,Serie A,,
Jasmin Kurtic,29,Slovenia,Central Midfield,5000000,Atalanta,5300000.0,Serie_A_2018.csv,Serie A,,
Felipe Vizeu,21,Brazil,Centre-Forward,1500000,Flamengo,5000000.0,Serie_A_2018.csv,Serie A,,
Romelu Lukaku,26,Belgium,Centre-Forward,75000000,Man Utd,74000000.0,Serie_A_2019.csv,Serie A,,
Dejan Kulusevski,19,Sweden,Attacking Midfield,25000000,Atalanta,39000000.0,Serie_A_2019.csv,Serie A,,
Franck Kessié,22,Ivory Coast,Central Midfield,33000000,Atalanta,32000000.0,Serie_A_2019.csv,Serie A,,
Nicolás Domínguez,21,Argentina,Central Midfield,12500000,Vélez Sarsfield,10980000.0,Serie_A_2019.csv,Serie A,,
Nahitan Nández,23,Uruguay,Central Midfield,18000000,Boca Juniors,16200000.0,Serie_A_2019.csv,Serie A,,
Pedro,22,Brazil,Centre-Forward,18000000,Fluminense,11000000.0,Serie_A_2019.csv,Serie A,,
Andrea Petagna,24,Italy,Centre-Forward,20000000,SPAL,12000000.0,Serie_A_2019.csv,Serie A,,
Duván Zapata,28,Colombia,Centre-Forward,45000000,Sampdoria,12000000.0,Serie_A_2019.csv,Serie A,,
Ruslan Malinovskyi,26,Ukraine,Attacking Midfield,12500000,Genk,13600000.0,Serie_A_2019.csv,Serie A,,
Luis Muriel,28,Colombia,Centre-Forward,13000000,Sevilla FC,21200000.0,Serie_A_2019.csv,Serie A,,
Roberto Soriano,28,Italy,Attacking Midfield,7000000,Villarreal,8000000.0,Serie_A_2019.csv,Serie A,,
Kai Havertz,21,Germany,Centre-Forward,81000000,Leverkusen,100000000.0,premier_league_2020.csv,Premier League,,
Fábio Silva,18,Portugal,Centre-Forward,12000000,Porto,40000000.0,premier_league_2020.csv,Premier League,,
Donny van de Beek,23,Netherlands,Central Midfield,44000000,Ajax,39000000.0,premier_league_2020.csv,Premier League,,
Ollie Watkins,24,England,Centre-Forward,12000000,Brentford,34000000.0,premier_league_2020.csv,Premier League,,
Ferran Torres,20,Spain,Centre-Forward,45000000,Valencia,33500000.0,premier_league_2020.csv,Premier League,,
Rodrigo,29,Spain,Centre-Forward,40000000,Valencia,30000000.0,premier_league_2020.csv,Premier League,,
Rhian Brewster,20,England,Centre-Forward,5400000,Liverpool U23,26000000.0,premier_league_2020.csv,Premier League,,
Callum Wilson,28,England,Centre-Forward,20000000,Bournemouth,22250000.0,premier_league_2020.csv,Premier League,,
Eberechi Eze,22,England,Attacking Midfield,9000000,QPR,17800000.0,premier_league_2020.csv,Premier League,,
Karlan Grant,23,England,Centre-Forward,8000000,Huddersfield,16500000.0,premier_league_2020.csv,Premier League,,
Morgan Sanson,26,France,Central Midfield,20000000,Marseille,15800000.0,premier_league_2020.csv,Premier League,,
Matheus Pereira,24,Brazil,Attacking Midfield,9500000,Sporting,8250000.0,premier_league_2020.csv,Premier League,,
Nahuel Bustos,22,Argentina,Centre-Forward,6700000,CA Talleres,6500000.0,premier_league_2020.csv,Premier League,,
Oliver Burke,23,Scotland,Centre-Forward,4800000,West Brom,6500000.0,premier_league_2020.csv,Premier League,,
Randal Kolo Muani,24,France,Centre-Forward,80000000,Eintracht Frankfurt,95000000.0,Ligue_1_2023.csv,Ligue 1,,
Gonçalo Ramos,22,Portugal,Centre-Forward,50000000,SL Benfica,65000000.0,Ligue_1_2023.csv,Ligue 1,,
Ousmane Dembélé,26,France,Centre-Forward,60000000,FC Barcelona,50000000.0,Ligue_1_2023.csv,Ligue 1,,
Bradley Barcola,20,France,Left Winger,18000000,Olympique Lyon,45000000.0,Ligue_1_2023.csv,Ligue 1,,
